ordinal	address	ghidra_name	def_name	names_agree
10000	0x6fe21700	GetCelDataSize	D2CMP_10000	no
10001	0x6fe251b0	CMP_GetTileDirRenderData	D2CMP_10001	no
10002	0x6fe216d0	GetCelNextPtr	D2CMP_10002	no
10003	0x6fe19720	DATATBLS_LoadTileProject	D2CMP_10003	no
10004	0x6fe21ee0	ANIM_CreateCelFromRawData	D2CMP_GetNearestPaletteIndex	no
10005	0x6fe1e1d0	LoadSpriteFrameWithCache	D2CMP_10005	no
10006	0x6fe21ac0	ANIM_InitializeCelFrameData	D2CMP_10006	no
10007	0x6fe25480	AddTileProjectToArray	D2CMP_10007	no
10008	0x6fe26600	CMP_FreeCelData	D2CMP_10008	no
10009	0x6fe1ba40	ShutdownStubNoOp	D2CMP_10009	no
10010	0x6fe1c250	GetLastError	D2CMP_10010	no
10011	0x6fe251e0	D2CMP_GetTileDirExtraDataPtr	D2CMP_10011	no
10012	0x6fe21b90	ANIM_CloneCelData	D2CMP_10012	no
10013	0x6fe219c0	BlitAllCelFrames	D2CMP_10013	no
10014	0x6fe26750	BuildTileCelDescriptor	D2CMP_10014	no
10015	0x6fe21890	BlitCelFrameHorizontalClipped	D2CMP_10015	no
10016	0x6fe25e20	ANIM_SerializeCelDataToBuffer	D2CMP_10016	no
10017	0x6fe228b0	CreateCelEntity	D2CMP_10017	no
10018	0x6fe21a30	FlushCelTextures	D2CMP_10018	no
10019	0x6fe1c9a0	InitializeCompressedGameData	D2CMP_10019	no
10020	0x6fe21fb0	GetTileDirectionFrameOffset	D2CMP_10020	no
10021	0x6fe222e0	GetCelFramePixelData	D2CMP_10021	no
10022	0x6fe25360	GetTileDirFrameArray	D2CMP_10022	no
10023	0x6fe22790	ANIM_AddCelFrameToQueue	D2CMP_10023	no
10024	0x6fe24f00	SetGameMode	D2CMP_CelFileNormalize	no
10025	0x6fe21f80	ANIM_ValidateCelDataPtr	D2CMP_10025	no
10026	0x6fe19a10	DATATBLS_FindNearestPaletteColorFiltered	D2CMP_10026	no
10027	0x6fe252a0	GetTileDirWidth	D2CMP_10027	no
10028	0x6fe1ba30	StubOrdinal10183	D2CMP_10028	no
10029	0x6fe19c60	ANIM_SetRenderKeyColor	D2CMP_10029	no
10030	0x6fe21d00	ANIM_ConvertRawCelToLoaded	D2CMP_10030	no
10031	0x6fe1fc20	DATATBLS_ApplyTileBorderSmoothing	D2CMP_10031	no
10032	0x6fe1c280	ANIM_GetSpriteProcessingStatus	D2CMP_CelFileFreeHardware	no
10033	0x6fe199d0	SetColorTransformTable	D2CMP_10033	no
10034	0x6fe1e460	ToggleGameRunningState	D2CMP_10034	no
10035	0x6fe25150	GetTileDirFilename	D2CMP_10035	no
10036	0x6fe25270	GetTileDirHeight	D2CMP_CelGetHandle	no
10037	0x6fe1d1f0	FormatSpriteErrorMessage	D2CMP_CelGetWidth	no
10038	0x6fe25180	GetTileDirFlags	D2CMP_CelGetHeight	no
10039	0x6fe1a250	QuantizeRGBAToIndexedColor	D2CMP_CelGetOffsetX	no
10040	0x6fe1a2e0	ANIM_LoadPaletteFromACTFile	D2CMP_CelGetOffsetY	no
10041	0x6fe19da0	FreeSurfaceMemory	D2CMP_10041	no
10042	0x6fe1b930	CMP_BuildPaletteTransformTables	D2CMP_10042	no
10043	0x6fe22280	GetTileSubtypeEntry	D2CMP_10043	no
10044	0x6fe1ba00	DATATBLS_InitPaletteTransformTables	D2CMP_10044	no
10045	0x6fe25330	GetTileDirFrameCount	D2CMP_10045	no
10046	0x6fe26a10	EncodeTileDirectionsToPixelData	D2CMP_CelFileGetCelsPerDirection	no
10047	0x6fe250d0	ITEMS_LoadAllPaletteTransforms	D2CMP_10047	no
10048	0x6fe252d0	GetTileDirNextPtr	D2CMP_10048	no
10049	0x6fe19d30	FindNearestPaletteColor	D2CMP_10049	no
10050	0x6fe215f0	GetLastError	D2CMP_10050	no
10051	0x6fe25300	GetTileDirSubIndex	D2CMP_GetGfxFileExtension	no
10052	0x6fe19a00	SetErrorHandlingDisabled	D2CMP_InitSpriteCache	no
10053	0x6fe1ba20	ShutdownStubNoOp	D2CMP_FlushSpriteCache	no
10054	0x6fe1bbb0	CMP_InitializeCelCache	D2CMP_SetCompressedDataMode	no
10055	0x6fe1be10	FindAsyncSpriteByParams	D2CMP_10055	no
10056	0x6fe259b0	AllocateTileCompareNode	D2CMP_10056	no
10057	0x6fe221c0	GetCelPixelSizeMapping	D2CMP_10057	no
10058	0x6fe1c270	GetLastError	D2CMP_10058	no
10059	0x6fe253a0	FindMatchingTilesInArray	D2CMP_10059	no
10060	0x6fe21730	GetCelFlags	D2CMP_10060	no
10061	0x6fe22380	CopyCelFramePixelData	D2CMP_10061	no
10062	0x6fe1ba50	ShutdownStubNoOp	D2CMP_10062	no
10063	0x6fe263b0	D2CMP_CreateTileDirectionEntry	D2CMP_10063	no
10064	0x6fe1ba60	ClearUnitSelectionState	D2CMP_10064	no
10065	0x6fe21520	InvalidateCelFrameTextures	D2CMP_10065	no
10066	0x6fe19af0	SetErrorHandlingDisabled	D2CMP_10066	no
10067	0x6fe21600	SetErrorHandlingDisabled	D2CMP_10067	no
10068	0x6fe1d680	ANIM_InitializeSpriteSystem	D2CMP_10068	no
10069	0x6fe216a0	GetCelRenderDataPtr	D2CMP_10069	no
10070	0x6fe1c9d0	GetGameStructureSelector	D2CMP_10070	no
10071	0x6fe1cfa0	ShutdownStubNoOp	D2CMP_10071	no
10072	0x6fe22480	ANIM_BlitCelFrameWithSolidColor	D2CMP_10072	no
10073	0x6fe22240	GetCelFrameTableEntry	D2CMP_10073	no
10074	0x6fe1ba70	GetCelRenderState	D2CMP_10074	no
10075	0x6fe22580	ANIM_LoadCelFromHashTable	D2CMP_10075	no
10076	0x6fe1bdb0	CleanupPendingAsyncHandles	D2CMP_10076	no
10077	0x6fe1cfb0	ShutdownStubNoOp	D2CMP_10077_GetTileType	no
10078	0x6fe1bc60	FlushCelCache	D2CMP_10078_GetTileStyle	no
10079	0x6fe21640	GetCelDirectionBitmask	D2CMP_10079_GetTileFlags	no
10080	0x6fe21780	ANIM_BlitCelFrameClipped	D2CMP_10080	no
10081	0x6fe21a80	ANIM_ValidateCelAndInitModule	D2CMP_10081_GetTileRarity	no
10082	0x6fe1c260	GetLastError	D2CMP_10082_GetTileSequence	no
10083	0x6fe25210	GetTileDirTileSize	D2CMP_10083	no
10084	0x6fe19cc0	FindMostDistantPaletteEntry	D2CMP_10084	no
10085	0x6fe21670	GetCelEmbeddedDataPtr	D2CMP_10085_GetTileFlagArray	no
10086	0x6fe21610	GetCelFramesPerDirection	D2CMP_10086	no
10087	0x6fe25390	SetErrorHandlingDisabled	D2CMP_10087_LoadTileLibrarySlot	no
10088	0x6fe25b00	EnumerateCelPixels	D2CMP_10088_GetTiles	no
10089	0x6fe1bd70	ShutdownCelCache	D2CMP_10089	no
10090	0x6fe269b0	D2CMP_FreeTileDirectionChain	D2CMP_10090	no
10091	0x6fe24ec0	GetPaletteBrightnessTable	D2CMP_10091	no
10092	0x6fe1bea0	CountCompletedAsyncSprites	D2CMP_10092	no
10093	0x6fe25d10	ANIM_ResolveLoadedCel	D2CMP_10093	no
10094	0x6fe22400	ANIM_IterateAllCelFramePixels	D2CMP_10094	no
10095	0x6fe220a0	GetTileDirectionRenderData	D2CMP_10095	no
10096	0x6fe19880	CMP_FreeAllTileProjects	D2CMP_10096	no
10097	0x6fe26250	CMP_AddTileSubtile	D2CMP_10097	no
10098	0x6fe214f0	ANIM_GetCelFrameDataPtr	D2CMP_MixPalette	no
10099	0x6fe25240	GetTileDirMagic	D2CMP_SpriteFreeAsyncLoads	no
10100	0x6fe22670	CELCMP_DestroyCelCacheEntry	D2CMP_10100	no
10101	0x6fe1b920	BuildAdditiveBlendTable	D2CMP_10101	no
10102	0x6fe22190	CanUpscalePixelFormat	D2CMP_TileFreeAsyncLoads	no
10103	0x6fe1def0	ANIM_LoadOrCreateSpriteEntry	D2CMP_10103	no
10104	0x6fe1d560	CMP_ShutdownSpriteSystem	D2CMP_10104	no
10105	0x6fe26c20	D2CMP_ResetTileHeaderAndExtractSubtiles	D2CMP_10105	no
10106	0x6fe1bc90	DATATBLS_LoadCelDataCached	D2CMP_10106	no
