ordinal	address	ghidra_name	def_name	names_agree
10000	0x6fc4b840	GAME_IncrementUnitActionCount	D2Game_10000	no
10001	0x6fc4b350	GAME_ProcessUnitsInRooms	D2Game_10001_Return0	no
10002	0x6fc729f0	GAME_EnqueueTimerEvent	GAME_InitGameDataTable	no
10003	0x6fc4cfd0	GAME_RemovePlayerFromSession	GAME_ProcessNetworkMessages	no
10004	0x6fc74400	PLAYER_HandleDisconnect	GAME_UpdateGamesProgress	no
10005	0x6fc58c70	GAME_CleanupSessionItems	GAME_UpdateClients	no
10006	0x6fc4d820	GAME_DisconnectAllPlayers	GAME_CloseAllGames	no
10007	0x6fc49ad0	IdentityPassthrough	GAME_ReceiveDatabaseCharacter	no
10008	0x6fc4e1e0	BroadcastGameCommand	D2Game_10008	no
10009	0x6fc4b550	GAME_GatherSessionStats	GAME_SetGlobalAct	no
10010	0x6fcfb860	DRLG_GenerateBoundedRandomPair	GAME_SetInitSeed	no
10011	0x6fc49ae0	GetGameServerConfig	D2Game_10011	no
10012	0x6fc4a6d0	Unwind@6fd179c0	GAME_GetGamesCount	no
10013	0x6fc331c0	GetLastError	D2Game_10013	no
10014	0x6fc4b160	GameStubReturnTrue	GAME_GetGameInformation	no
10015	0x6fc72390	EnqueueGameEvent	GAME_GetGameServerGameIds	no
10016	0x6fc72140	InitializePerformanceFrequency	GAME_GetPlayerUnitsCount	no
10017	0x6fc4a210	SetErrorHandlingDisabled	GAME_GetPlayerUnitsInfo	no
10018	0x6fc58d40	SetGameEventHandler	D2Game_10018	no
10019	0x6fc732b0	SetGlobalValue11103	GAME_GetUnitsDescriptions	no
10020	0x6fcd87b0	GameStubReturnTrueAlt	GAME_GetStatistics	no
10021	0x6fc72650	AllocateTimerQueueSlot	GAME_SendMessageToAllClients	no
10022	0x6fc49b10	GetActiveGameCountAlt	GAME_SendMessageToGameClients	no
10023	0x6fc66b10	StubNoOp	GAME_SetServerCallbackFunctions	no
10024	0x6fc4df10	GAME_UpdateGameSessionTimers	D2Game_10024_RemoveClientFromGame	no
10025	0x6fc4b050	GetGameSessionInfo	DEBUG_GetUnitFromTypeAndGUID	no
10026	0x6fc49800	SetGameFrameRate	DEBUG_GetAct	no
10027	0x6fc53970	IsPlayerInGameSession	DEBUG_GetFreeMonsterIndex	no
10028	0x6fc4ad80	NET_ProcessTermination	DEBUG_GetRoomBySubtileCoordinates	no
10029	0x6fc58bb0	CancelScreenFade	D2GAME_10029_SAVE_WriteFileInterface	no
10030	0x6fc61f40	StubNoOp		
10031	0x6fc4b9a0	GetLastError		
10032	0x6fc497c0	StubReturnZero		
10033	0x6fc4ae40	GAME_DequeueExpiredTimerEvent	D2Game_10033	no
10034	0x6fc4dec0	NET_HandlePlayerDisconnectRequest	D2Game_10034_Return	no
10035	0x6fc4d3b0	GAME_HandleClientData	QUESTS_DisableSequences	no
10036	0x6fc72240	GetTimerQueueNextEventDelay	D2GAME_10036_PLRSAVE_EnableSaveFileWriting	no
10037	0x6fc4a370	SetGameEventHandler	QUESTS_CheckFirstPickedSet	no
10038	0x6fc4d4b0	InitializeGameServer	QUESTS_CheckNotIntroQuest	no
10039	0x6fc58dc0	GAME_AcquireSessionAndFindUnit	TASK_InitializeClock	no
10040	0x6fc4e460	NET_ProcessPacketQueues	TASK_FreeAllQueueSlots	no
10041	0x6fc6c180	StubNoOp	D2Game_10041_TASK_Create	no
10042	0x6fc58bc0	GetTimerQueueNextEventDelay	D2Game_10042	no
10043	0x6fc497f0	SetErrorHandlingDisabled	D2Game_10043	no
10044	0x6fc4c570	GAME_InitGameSession	D2Game_10044	no
10045	0x6fc4b7c0	BuildGameTimeBucketHistogram	TASK_ProcessGame	no
10046	0x6fcd87c0	GameStubReturnTrueAlt	D2Game_10046	no
10047	0x6fc4a9a0	GAME_ShutdownServer	GAME_CreateNewEmptyGame	no
10048	0x6fc4a330	SetGameServerCallback	D2Game_10048_Return1	no
10049	0x6fc57430	SetGameLogLevel	D2Game_10049_Return1	no
10050	0x6fc49b00	GetLastError	D2Game_10050	no
10051	0x6fc539e0	GetQuestChainData	D2Game_10051	no
10052	0x6fc4a1f0	SetGameTimerValue	GAME_GetMemoryUsage	no
10053	0x6fc4b440	EnqueueGameEvent	D2Game_10053	no
10054	0x6fc4b900	SLOTS_IncrementSlotRefCount	D2Game_10054	no
10055	0x6fc4bd70	IdentityPassthrough	GAME_DisconnectClientByName	no
10056	0x6fc722d0	DequeueExpiredTimerEvent	D2Game_10056	no
10057	0x6fc72010	ShutdownStubNoOp	D2Game_10057	no
10058	0x6fc72090	GAME_CleanupAllGameEventQueues	CLIENTS_GetExpansionClientCount	no
10059	0x6fc4af80	GetCurrentGameSessionToken	PLAYER_SetVirtualPlayerCount	no
10060	0x6fc4b4d0	GetActiveUnitCount	D2Game_10060_Return	no
