ordinal	address	ghidra_name	def_name	names_agree
10000	0x6fa87e20	D2GFX_DispatchRenderCommand	D2GFX_Initialize	no
10001	0x6fa8bb50	CLIENT_InvokeRendererFunc	D2GFX_Release	no
10002	0x6fa8b730	CLIENT_ShutdownRendererIfValid	D2GFX_ReturnFalse	no
10003	0x6fa87cc0	HideAppBarWindows	D2GFX_GetDisplayType	no
10004	0x6fa8b330	GetWindowMode	D2GFX_CheckWindowed	no
10005	0x6fa888c0	D2GFX_SetDisplayMode	D2GFX_GetResolutionMode	no
10006	0x6fa8b190	CLIENT_SetDisplayMode	D2GFX_HardwareAcceleratedRenderMode	no
10007	0x6fa8b1c0	CLIENT_SetGraphicsFlagBF0	D2GFX_CheckUnitPerspective	no
10008	0x6fa8b8f0	CLIENT_GetPrevious2RendererState	D2GFX_SetUnitPerspective	no
10009	0x6fa8b870	D2GFX_ClampPrevRendererState	D2GFX_TogglePerspective	no
10010	0x6fa8b9c0	CLIENT_RenderByOrdinal	D2GFX_CheckPerspective	no
10011	0x6fa8afd0	RENDER_CallIndex36	D2GFX_SetPerspective	no
10012	0x6fa8b920	D2GFX_ValidateShutdownContext	D2GFX_ToggleBlendedShadows	no
10013	0x6fa8b290	GetSafeShutdownPtr	D2GFX_CheckBlendedShadows	no
10014	0x6fa8ba30	CLIENT_ValidateRenderBounds	D2GFX_SetBlendShadows	no
10015	0x6fa8b580	CLIENT_RegisterMainWindowClassAndInitRenderer	D2GFX_ToggleLowQuality	no
10016	0x6fa8b0b0	RENDERER_DispatchIndex32	D2GFX_CheckLowQuality	no
10017	0x6fa8adc0	CLIENT_RenderFrame	D2GFX_SetLowQuality	no
10018	0x6fa8b350	CLIENT_GetFalse	D2GFX_SetGamma	no
10019	0x6fa8b050	CLIENT_InvokeRendererDirect	D2GFX_GammaCanBeControlled	no
10020	0x6fa8b900	CLIENT_RestorePreviousRendererState	D2GFX_EnableVSync	no
10021	0x6fa8b9a0	CLIENT_CallRenderer31	D2GFX_GetCacheResults	no
10022	0x6fa8b100	CLIENT_RenderByOrdinal_1d	D2GFX_SetViewMatrixAdjust	no
10023	0x6fa8b7a0	D2GFX_CallRenderer	WINDOW_Create	no
10024	0x6fa87de0	D2GFX_InvokeRendererFunc	WINDOW_Destroy	no
10025	0x6fa87fd0	D2GFX_GetDisplaySize	WINDOW_SetPaused	no
10026	0x6fa882d0	GFX_ShutdownDisplay	WINDOW_GetState	no
10027	0x6fa87e90	CLIENT_DispatchRenderCommand	WINDOW_GetWindow	no
10028	0x6fa8ba70	CLIENT_InvokeRenderer0x2d	WINDOW_IsFullScreen	no
10029	0x6fa88290	D2GFX_SetSystemCursorVisible	WINDOW_ShowCursor	no
10030	0x6fa8b250	GFX_GetGraphicsStateValue	WINDOW_Resize	no
10031	0x6fa8b320	CLIENT_GetDisplayMode	WINDOW_ClearCaches	no
10032	0x6fa87f50	CLIENT_IsRendererReadyFullscreen	WINDOW_PlayCutscene	no
10033	0x6fa8b240	SetGraphicsStateValue	WINDOW_EndCutScene	no
10034	0x6fa8b1e0	CLIENT_SetRenderState	WINDOW_OpenSmackCutscene	no
10035	0x6fa8bab0	CLIENT_RenderFrame	WINDOW_CheckCutScene	no
10036	0x6fa8b310	CLIENT_GetLegacyRendererMode	WINDOW_DecodeSmacker	no
10037	0x6fa8b6e0	D2GFX_ShutdownRendererIfValid	WINDOW_PlaySmacker	no
10038	0x6fa8b0e0	GFX_InvokeRendererEndScene	WINDOW_CloseSmacker	no
10039	0x6fa87d00	D2GFX_CollapseAppBars	WINDOW_UpdatePlacement	no
