ordinal	address	ghidra_name	def_name	names_agree
10000	0x6fa267f0	BinkBufferGetError	D2MCPClient_10000	no
10001	0x6fa25e40	SetGlobalValue11103	D2MCPClientCloseMCP	no
10002	0x6fa26950	SetErrorHandlingDisabled	D2MCPClient_10002	no
10003	0x6fa26db0	EncodeBufferInit	D2MCPClient_10003	no
10004	0x6fa27140	NET_FormatPacket	D2MCPClient_10004	no
10005	0x6fa267a0	GetLastError	D2MCPClient_10005	no
10006	0x6fa26fb0	NET_CopyStringToPacketBuffer	D2MCPClient_10006	no
10007	0x6fa26aa0	BigIntNormalizeAndIsUnity	D2MCPClient_10007	no
10008	0x6fa27020	NET_EncodeClientStrings	D2MCPClient_10008	no
10009	0x6fa26750	GetLastError	D2MCPClient_10009	no
10010	0x6fa26960	GetLastError	D2MCPClient_10010	no
10011	0x6fa268f0	GetLastError	D2MCPClient_10011	no
10012	0x6fa26e60	MCP_EncodeSaveContextKey	D2MCPClient_10012	no
10013	0x6fa26e10	MCP_EncodeDataBuffer	D2MCPClient_10013	no
10014	0x6fa26780	GetLastError	D2MCPClient_10014	no
10015	0x6fa26880	SetErrorHandlingDisabled	D2MCPClient_10015	no
10016	0x6fa26720	SetErrorHandlingDisabled	D2MCPClient_10016	no
10017	0x6fa267d0	ClearMcpErrorBuffer	D2MCPClient_10017	no
10018	0x6fa26a30	NET_CleanupGameResources	D2MCPClient_10018	no
10019	0x6fa26900	SetErrorHandlingDisabled	D2MCPClient_10019	no
10020	0x6fa26980	BinkBufferGetError	D2MCPClient_10020	no
10021	0x6fa25e70	SetGlobalValue11103	D2MCPClient_10021	no
10022	0x6fa26770	SetErrorHandlingDisabled	D2MCPClient_10022	no
10023	0x6fa268c0	SetErrorHandlingDisabled	D2MCPClient_10023	no
10024	0x6fa271d0	NET_EncodeStringWithOpCode	D2MCPClient_10024	no
10025	0x6fa268b0	SetErrorHandlingDisabled	D2MCPClient_10025	no
10026	0x6fa26760	GetLastError	D2MCPClient_10026	no
10027	0x6fa26970	NET_GetLastEncodeContext	D2MCPClient_10027	no
10028	0x6fa26930	GetLastError	D2MCPClient_10028	no
10029	0x6fa25e60	SetGlobalValue11103	D2MCPClient_10029	no
10030	0x6fa26cf0	NET_EncodeAndResetError	D2MCPClient_10030	no
10031	0x6fa26cb0	NET_ClearErrorAndEncode	D2MCPClient_10031	no
10032	0x6fa26de0	ClearErrorAndEncodeBuffer	D2MCPClient_10032	no
10033	0x6fa26790	SetErrorHandlingDisabled	D2MCPClient_10033	no
10034	0x6fa265d0	CLIENT_LoadConfigHeader	D2MCPClient_10034	no
10035	0x6fa26c70	NET_StartConfigSaveThread	D2MCPClient_10035	no
10036	0x6fa26940	GetLastError	D2MCPClient_10036	no
10037	0x6fa26910	GetLastError	D2MCPClient_10037	no
10038	0x6fa27290	NET_BuildPacketWithCode	D2MCPClient_10038	no
10039	0x6fa26ab0	NET_CreateMcpGame	D2MCPClient_10039	no
10040	0x6fa26800	CLIENT_StoreConfigParams	D2MCPClient_10040	no
10041	0x6fa270b0	MCP_EncodeStringToPacketBuffer	D2MCPClient_10041	no
10042	0x6fa26d50	ClearErrorAndEncodeBuffer	D2MCPClient_10042	no
10043	0x6fa26840	CLIENT_CopyStaticStringToOffsets	D2MCPClient_10043	no
10044	0x6fa26d80	NET_ClearErrorAndEncode	D2MCPClient_10044	no
10045	0x6fa268e0	SetErrorHandlingDisabled	D2MCPClient_10045	no
10046	0x6fa25e50	InitializeStateCallbackAndData	D2MCPClient_10046	no
10047	0x6fa267b0	SetErrorHandlingDisabled	D2MCPClient_10047	no
10048	0x6fa26890	GetLastError	D2MCPClient_10048	no
10049	0x6fa26a90	GetLastError	D2MCPClient_10049	no
10050	0x6fa26990	ExecuteEntityOperationDispatch	D2MCPClient_10050	no
10051	0x6fa267c0	GetLastError	D2MCPClient_10051	no
10052	0x6fa26d20	NET_EncodeAndResetError	D2MCPClient_10052	no
10053	0x6fa26730	GetLastError	D2MCPClient_10053	no
10054	0x6fa269f0	NET_GetPeerAddressIfOnline	D2MCPClient_10054	no
10055	0x6fa26740	SetErrorHandlingDisabled	D2MCPClient_10055	no
10056	0x6fa26710	GetLastError	D2MCPClient_10056	no
10057	0x6fa26f20	NET_EncodePacketBuffer	D2MCPClient_10057	no
10058	0x6fa27330	NET_EncodePacketData	D2MCPClient_10058	no
10059	0x6fa268a0	GetLastError	D2MCPClient_10059	no
10060	0x6fa27230	NET_EncodeClientBuffer	D2MCPClient_10060	no
10061	0x6fa26920	SetErrorHandlingDisabled	D2MCPClient_10061	no
10062	0x6fa268d0	GetLastError	D2MCPClient_10062	no
