ordinal	address	ghidra_name	def_name	names_agree
10000	0x6fbf6090	CloseSocketConnection	CLIENT_Initialize	no
10001	0x6fbf6110	NET_GetPeerIPAddressByID	CLIENT_Release	no
10002	0x6fbf63e0	SendNetworkPacket	SERVER_WaitForSingleObject	no
10003	0x6fbf6a10	WSAGetLastError	SERVER_Initialize	no
10004	0x6fbf70d0	GetNetworkConnectionStatus	SERVER_Release	no
10005	0x6fbf6590	NET_InitializeClientContext	CLIENT_Send	no
10006	0x6fbf65d0	GetClientToServerPacketSize	D2NET_10006	no
10007	0x6fbf5f40	NET_WaitForSendEvent	CLIENT_DequeueGamePacket	no
10008	0x6fbf7200	DequeueOutgoingMessage	CLIENT_DequeueSystemPacket	no
10009	0x6fbf6050	NET_WaitForSendEvent		
10010	0x6fbf6150	NET_WaitForSendEvent	SERVER_ReadFromMessageList1	no
10011	0x6fbf5f10	NET_WaitForSendEvent	SERVER_ReadFromMessageList0	no
10012	0x6fbf6220	NET_WaitForSendEvent	SERVER_ReadFromMessageList2	no
10013	0x6fbf5f30	NET_GetContextField880	CLIENT_GetLocalIpAddressString	no
10014	0x6fbf6190	NET_DequeueBufferMediumPriority	SERVER_GetIpAddressStringFromClientId	no
10015	0x6fbf6000	SNET_GetServerHashValue	D2NET_10015	no
10016	0x6fbf61d0	NET_ReceiveHighPriorityPacket	D2NET_10016	no
10017	0x6fbf6170	NET_GetPeerIPAddressByID	D2NET_10017	no
10018	0x6fbf6070	SNET_SetServerHandle	D2NET_10018	no
10019	0x6fbf75e0	CheckConnectionAndStartReceiver	D2NET_10019	no
10020	0x6fbf71e0	DequeueOutgoingMessage	SERVER_SetClientGameGUID	no
10021	0x6fbf6020	NET_SetServerContextValue	SERVER_GetClientGameGUID	no
10022	0x6fbf6250	NET_WaitForSendEvent	D2NET_10022	no
10023	0x6fbf6240	NET_GetContextField880	SERVER_SetHackListEnabled	no
10024	0x6fbf7650	SendOrQueueNetworkPacket	SERVER_WSAGetLastError	no
10025	0x6fbf60b0	NET_GetPeerIPAddressByID	D2NET_10025	no
10026	0x6fbf6ef0	ShutdownNetworkSystem	SERVER_SetMaxClientsPerGame	no
10027	0x6fbf60f0	NET_GetPeerIPAddressByID	D2NET_10027	no
10028	0x6fbf61f0	DestroyServerContext	D2NET_10028_Return	no
10029	0x6fbf60d0	NET_GetPeerIPAddressByID	D2NET_10029_Return	no
10030	0x6fbf6b70	GetLocalSocketAddress	SERVER_GetServerPacketSize	no
10031	0x6fbf62b0	NET_WaitForSendEvent	SERVER_GetClientPacketSize	no
10032	0x6fbf6130	NET_WaitForSendEvent	D2NET_10032	no
10033	0x6fbf6750	GetServerToClientPacketSize	D2NET_10033	no
10034	0x6fbf7540	InitializeNetworkClient	D2NET_10034	no
10035	0x6fbf61b0	NET_DequeueBufferAndCopy	D2NET_10035	no
10036	0x6fbf6270	NET_AddUniqueKeyValuePair	D2NET_10036	no
10037	0x6fbf6290	NET_ExchangeClientContextValue	SERVER_GetSocketFromClientId	no
