ordinal	address	ghidra_name	def_name	names_agree
10000	0x6f9b8020	SOUND_IterateAndShutdownCallbacks	D2SOUND_OpenSoundSystem	no
10001	0x6f9b9af0	SOUND_GetSoundRegValue	D2SOUND_CloseSoundSystem	no
10002	0x6f9b9820	SOUND_InitDirectSoundWithFlags	D2SOUND_10002	no
10003	0x6f9b67c0	SOUNDLIB_HasSoundResource	D2SOUND_10003	no
10004	0x6f9b9aa0	SOUND_SetChannelConfig	D2SOUND_10004	no
10005	0x6f9b7650	SOUND_LoadAudioBuffer	D2SOUND_10005	no
10006	0x6f9b6980	SOUND_StopSoundEntry	D2SOUND_10006	no
10007	0x6f9b6920	SOUND_GetFieldAt38	D2SOUND_10007	no
10008	0x6f9b6e20	SOUND_SetVolume	D2SOUND_10008	no
10009	0x6f9b87d0	SOUND_GetVolumePowerLevel	D2SOUND_10009	no
10010	0x6f9b7d30	SOUND_StartRandomMusic	D2SOUND_10010	no
10011	0x6f9b9ac0	SOUND_GetChannelConfig	D2SOUND_10011	no
10012	0x6f9b7b00	SOUND_GetMusicRestartCount	D2SOUND_10012	no
10013	0x6f9b9a10	SaveValidatedRegistryValue	D2SOUND_10013	no
10014	0x6f9b7fe0	SOUND_StopMusicIfPlaying	D2SOUND_10014	no
10015	0x6f9b6b80	SOUND_InitTimeout	D2SOUND_10015	no
10016	0x6f9b9a60	GetStoredRegistryValue	D2SOUND_10016	no
10017	0x6f9b8160	SOUND_ShutdownSystem	D2SOUND_10017	no
10018	0x6f9b8640	AppendSoundEntryToList	D2SOUND_10018	no
10019	0x6f9b8100	SOUND_InitializeActiveTimeouts	D2SOUND_10019	no
10020	0x6f9b68d0	SOUND_NotifyBufferCallback	D2SOUND_10020	no
10021	0x6f9b83c0	SOUND_InitSoundSystem	D2SOUND_10021	no
10022	0x6f9b9a70	SetRegistryValue	D2SOUND_10022	no
10023	0x6f9b7510	SOUND_FadeGlobalVolume	D2SOUND_10023	no
10024	0x6f9b7fb0	SOUND_InitMusicRestart	D2SOUND_10024	no
10025	0x6f9b8980	SOUND_ParseWAVEChunkFromArchive	D2SOUND_10025	no
10026	0x6f9b6c00	SetSoundChannelVolume	D2SOUND_10026	no
10027	0x6f9b8e70	SOUND_GetMicrophoneGain	D2SOUND_10027	no
10028	0x6f9b6d80	SOUND_ApplyAudioValue	D2SOUND_10028	no
10029	0x6f9b9ad0	SOUND_SaveCurrentRegistryValue	D2SOUND_10029	no
10030	0x6f9b8010	SOUND_IsSystemReady	D2SOUND_10030	no
10031	0x6f9b9230	SOUND_ShutdownAudio	D2SOUND_10031	no
10032	0x6f9b6850	SOUND_GetItemSound	D2SOUND_10032	no
10033	0x6f9b8690	CountLinkedListNodes	D2SOUND_10033	no
10034	0x6f9b8710	SOUND_AllocEntry	D2SOUND_10034	no
10035	0x6f9b9a30	SOUND_GetMusicVolume	D2SOUND_10035	no
10036	0x6f9b80a0	SOUND_CheckAllSoundCallbacksInactive	D2SOUND_10036	no
10037	0x6f9b6f30	SOUND_IsBufferReady	D2SOUND_10037	no
10038	0x6f9b6820	SOUND_SetSoundData	D2SOUND_10038	no
10039	0x6f9b66f0	SOUND_BeginDDAStreaming	D2SOUND_10039	no
10040	0x6f9b9a40	SOUND_SetStoredRegistryValue	D2SOUND_10040	no
10041	0x6f9b8ea0	SOUND_GetDirectSound	D2SOUND_10041	no
10042	0x6f9b9b30	SOUND_LoadSettingsFromRegistry	D2SOUND_10042	no
10043	0x6f9b6680	SOUND_ShutdownSoundObject	D2SOUND_10043	no
10044	0x6f9b6950	GetSoundArrayElement	D2SOUND_10044	no
10045	0x6f9b7d00	SOUND_SetMusicRestartCount	D2SOUND_10045	no
10046	0x6f9b8e80	SOUND_GetSoundBufferCount	D2SOUND_10046	no
10047	0x6f9b8b50	SOUND_GetAudioLevels	D2SOUND_10047	no
10048	0x6f9b8320	SOUND_LoadSound	D2SOUND_10048	no
10049	0x6f9b6fa0	SOUND_RemoveSoundEntry	D2SOUND_10049	no
10050	0x6f9b67f0	Sound_SetContextField	D2SOUND_10050	no
10051	0x6f9b6ce0	SOUND_ApplyChannelVolume	D2SOUND_10051	no
10052	0x6f9b6670	SOUND_ReturnVoid	D2SOUND_10052	no
10053	0x6f9b86a0	SOUND_FindLinkedNode	D2SOUND_10053	no
10054	0x6f9b6ec0	SOUND_StopOrGetStatus	D2SOUND_10054	no
10055	0x6f9b6660	SOUND_NullStub10055	D2SOUND_10055	no
10056	0x6f9b8e90	SOUND_GetSoundInitFlag1	D2SOUND_10056	no
10057	0x6f9b7b10	SOUND_HasValidEntry	D2SOUND_10057	no
10058	0x6f9b8fd0	SOUND_WriteChannelConfig	D2SOUND_10058	no
10059	0x6f9b9b20	SOUND_GetStoredRegistryValue	D2SOUND_10059	no
10060	0x6f9b8830	AUDIO_ComputeFloatComparisonResult	D2SOUND_10060	no
10061	0x6f9b7480	SOUND_UpdateGlobalVolume	D2SOUND_10061	no
10062	0x6f9b86c0	RemoveListNode	D2SOUND_10062	no
10063	0x6f9b8920	SOUND_RemoveDuplicatesFromList	D2SOUND_10063	no
10064	0x6f9b6b60	SOUND_GetMaxVolumeScalar	D2SOUND_10064	no
10065	0x6f9b7740	SOUND_CreateSoundEntry	D2SOUND_10065	no
10066	0x6f9b9b00	SOUND_GetStoredRegistryValue	D2SOUND_10066	no
10067	0x6f9b9a90	SOUND_QueryRegistryValue	D2SOUND_10067	no
10068	0x6f9b7c60	SOUND_StartPlayback	D2SOUND_10068	no
10069	0x6f9b7580	SOUND_CopyAudioData	D2SOUND_10069	no
10070	0x6f9b8200	SOUNDLIB_FindSoundByName	D2SOUND_10070	no
