ordinal	address	ghidra_name	def_name	names_agree
10000	0x6f8e93c0	WIN_AddTextLineToTextBox	D2Win_CreateWindow	no
10001	0x6f8f70b0	SetControlOverlayFlag	D2Win_InitializeSpriteCache	no
10002	0x6f8f14a0	SetSmackVideoFile	D2Win_CloseSpriteCache	no
10003	0x6f8ef860	HasImageControlContent	D2Win_10003	no
10004	0x6f8f2de0	RenderClippedTextAtPosition	D2Win_10004	no
10005	0x6f8ea890	D2WIN_OpenCharacterAndMediaArchives	D2Win_10005	no
10006	0x6f8f7b30	SetGlobalValue	D2Win_10006_ClearDrawCaches	no
10007	0x6f8eb480	GetControlUserData	BACKGROUND_SetCellFile	no
10008	0x6f8f1760	FreeTextLineList	D2Win_10008	no
10009	0x6f8ead30	SetScrollbarStepSize	D2Win_10009	no
10010	0x6f8f3930	SetTextEditMaxLength	D2Win_10010	no
10011	0x6f8f16a0	D2WIN_DestroySmackVideoControl	CURSOR_SetCellFile	no
10012	0x6f8f6d70	DestroyTableControl	D2Win_10012	no
10013	0x6f8f2e90	RenderClippedTextBox	CONTROL_SetCellFile	no
10014	0x6f8f8980	RunMainMessageLoop	D2Win_10014_SetWndProc	no
10015	0x6f8e80c0	SetTextBoxLineProperty	D2Win_10015	no
10016	0x6f8ea4f0	GetUnitX	D2Win_10016	no
10017	0x6f8f1190	DispatchWindowMessage	CONTROL_Create	no
10018	0x6f8eb450	GetControlStateByte	CONTROL_Destroy	no
10019	0x6f8e8740	GetTextBoxScrollbarMaxPosition	D2Win_10019	no
10020	0x6f8e9730	AddDefaultTextLine	WREGISTER_RegisterCommand	no
10021	0x6f8f3720	ResetTextEditCursor	WREGISTER_UnregisterCommand	no
10022	0x6f8e9740	WIN_AddTextLineFromUtf8	WREGISTER_RegisterCommands	no
10023	0x6f8eb370	GetControlType	D2Win_10023	no
10024	0x6f8f87e0	RenderMainFrame	D2Win_10024_CONTROL_CheckFirstFlag	no
10025	0x6f8f13f0	EnableVideoInitialization	D2Win_10025_CONTROL_ToggleFirstFlag	no
10026	0x6f8f3110	D2Win_InitializeFontSystem	D2Win_10026_CONTROL_CheckThirdFlag	no
10027	0x6f8e8290	GetTextBoxSelectedIndex	D2Win_10027_CONTROL_ToggleThirdFlag	no
10028	0x6f8f2b20	MeasureUnicodeTextWidth	D2Win_10028	no
10029	0x6f8f10b0	D2WIN_CreatePopupControl	D2Win_10029	no
10030	0x6f8e82d0	GetTextBoxScrollIndex	D2Win_10030_CONTROL_ToggleFourthFlag	no
10031	0x6f8f70a0	SetErrorHandlingDisabled	D2Win_10031	no
10032	0x6f8f7c50	InitializeGameEngine	D2Win_IsMouseButtonPressed	no
10033	0x6f8e8170	GetTextBoxCellText	D2Win_10033	no
10034	0x6f8f7a80	GetLastError	D2Win_10034_MixRGB	no
