ordinal	address	ghidra_name	def_name	names_agree
10000	0x6ff66920	ProcessInventoryItemWrapper	FOG_SOCKET_CloseSocket	no
10001	0x6ff66900	InitializeWinsock	FOG_SOCKET_WSAStartup	no
10002	0x6ff668f0	WSACleanup	FOG_SOCKET_WSACleanup	yes
10003	0x6ff66dd0	CreateStormThread	FOG_SOCKET_Connect	no
10004	0x6ff66b10	FOG_CreateTcpConnection	FOG_SOCKET_ConnectEx	no
10005	0x6ff67020	CloseNetworkResource	FOG_SOCKET_Destroy	no
10006	0x6ff66fb0	ReceiveNetworkDataFromSocket	FOG_SOCKET_Receive	no
10007	0x6ff66f00	SendDataOverSocket	FOG_SOCKET_Send	no
10008	0x6ff66800	CheckSocketReadiness	FOG_SOCKET_Select	no
10009	0x6ff66eb0	SendDataToSocket	FOG_SOCKET_SendNoLock	no
10010	0x6ff66e90	AcquireDataStructureLock	FOG_SOCKET_Lock	no
10011	0x6ff668e0	LeaveSocketCriticalSection	FOG_SOCKET_Unlock	no
10012	0x6ff66e40	GetPeerSocketAddress	FOG_SOCKET_GetPeerName	no
10013	0x6ff66a10	RetrieveLocalIPAddress	FOG_GetHostIPAddress	no
10014	0x6ff667e0	CopyInetNtoaToBuffer	FOG_inet_ntoa	no
10015	0x6ff66930	ResolveNetworkAddress	FOG_ResolveHostIPAddress	no
10016	0x6ff667c0	ExtractUnitFields	FOG_SOCKET_GetError	no
10017	0x6ff667a0	NET_SetSocketNonBlocking	FOG_SOCKET_SetBlockingMode	no
10018	0x6ff60600	FormatStringBuffer	FOG_csprintf	no
10019	0x6ff61860	GAME_InitializeGameInstance	FOG_InitErrorMgr	no
10020	0x6ff613a0	RegisterExceptionFilter	UnimplementedOrdinal_10020=UnimplementedOrdinal	no
10021	0x6ff60810	ProcessInventoryItemWrapper	FOG_SetLogPrefix	no
10022	0x6ff605d0	GetFogStatePtr	FOG_GetSystemInfo	no
10023	0x6ff61130	CleanupNetworkAndInitiateShutdown	FOG_DisplayAssert	no
10024	0x6ff61100	CleanupAndAbort	FOG_DisplayHalt	no
10025	0x6ff610d0	PerformNetworkCleanupAndShutdown	FOG_DisplayWarning	no
10026	0x6ff61070	TerminateApplicationOnFatalError	FOG_DisplayError	no
10027	0x6ff610a0	HandleSocketInitializationError	UnimplementedOrdinal_10027=UnimplementedOrdinal	no
10028	0x6ff60f30	FOG_ERROR_LogErrorAndInitiateShutdown	UnimplementedOrdinal_10028=UnimplementedOrdinal	no
10029	0x6ff69100	DATATBLS_ValidateParameterOrShutdown	FOG_Trace	no
10030	0x6ff690a0	LogAppendFormat	FOG_TraceF	no
10031	0x6ff69040	ValidateParameterOrInitiateShutdown	FOG_TraceAppend	no
10032	0x6ff68950	FOG_EnqueueLogMessage	FOG_TraceMemory	no
10033	0x6ff66430	DumpExceptionStackAndExit	FOG_CrashDeadlockDetected	no
10034	0x6ff66470	InitializeNetworkThreadEntry	UnimplementedOrdinal_10034=UnimplementedOrdinal	no
10035	0x6ff60dd0	FormatAndOutputDebugString	UnimplementedOrdinal_10035=UnimplementedOrdinal	no
10036	0x6ff60d40	FormatDebugMessageWrapper	UnimplementedOrdinal_10036=UnimplementedOrdinal	no
10037	0x6ff60d60	OutputDebugIfScrollLockActive	UnimplementedOrdinal_10037=UnimplementedOrdinal	no
10038	0x6ff60cd0	FormatAndOutputDebugMessage	UnimplementedOrdinal_10038=UnimplementedOrdinal	no
10039	0x6ff5fcc0	GetLastError	FOG_IsHandlingError	no
10040	0x6ff68940	ShutdownResourcesAndExit_Thunk	UnimplementedOrdinal_10040=UnimplementedOrdinal	no
10041	0x6ff6ccb0	SetGlobalValue11103	UnimplementedOrdinal_10041=UnimplementedOrdinal	no
10042	0x6ff6cd10	AllocateMemoryWithTracking	FOG_Alloc	no
10043	0x6ff6ccf0	InitializeModule	FOG_Free	no
10044	0x6ff6cdf0	FOG_AllocateGameBuffer	FOG_Realloc	no
10045	0x6ff6cd50	FOG_AllocatePoolSlotOrFatal	FOG_AllocPool	no
10046	0x6ff6ccc0	DeallocateResourceBuffer	FOG_FreePool	no
10047	0x6ff6cda0	AllocateConditionalResource	FOG_ReallocPool	no
10048	0x6ff60630	ShutdownStubNoOp	UnimplementedOrdinal_10048=UnimplementedOrdinal	no
10049	0x6ff60620	ShutdownStubNoOp	UnimplementedOrdinal_10049=UnimplementedOrdinal	no
10050	0x6ff617c0	EnterCriticalSectionWrapper	FOG_10050_EnterCriticalSection	no
