ordinal	address	ghidra_name	def_name	names_agree
101	0x6fc04210	NET_InitializeGameStateWrapper	SNetCreateGame	no
102	0x6fc03e10	CleanupAndShutdownGame	SNetDestroy	no
103	0x6fc018a0	CopyLinkedListWithCallback	SNetEnumProviders	no
104	0x6fc023b0	CopyLinkedListWithThreadSafety	SNetEnumDevices	no
105	0x6fc06d90	EnumeratePropertiesWithCallback	SNetEnumGames	no
106	0x6fc03cb0	BroadcastPlayerStateChange	SNetDropPlayer	no
107	0x6fc00720	NET_GetDataByTypeWithBuffer	SNetGetGameInfo	no
108	0x6fc00610	QueryMaximumDeviceStateValue	SNetGetNetworkLatency	no
109	0x6fc004f0	UNIT_CountActiveLinkedListNodes	SNetGetNumPlayers	no
110	0x6fc06030	GAME_ProcessAndCountGameUnits	SNetGetOwnerTurnsWaiting	no
111	0x6fc003f0	GetSlotDataWithCallback	SNetGetPerformanceData	no
112	0x6fc002e0	GetUnitDataById	SNetGetPlayerCaps	no
113	0x6fc00200	GetUnitDataById	SNetGetPlayerName	no
114	0x6fc00140	GAME_GetGameStateSnapshot	SNetGetProviderCaps	no
115	0x6fc02af0	CalculateAvailableGameResources	SNetGetTurnsInTransit	no
116	0x6fc02170	InitializePropertyObjects	SNetInitializeDevice	no
117	0x6fc070b0	InitializeGameFramework	SNetInitializeProvider	no
118	0x6fc05c10	NET_InitializePlayerGameConnection	SNetJoinGame	no
119	0x6fc03a90	NET_ShutdownGameAndCleanupResources	SNetLeaveGame	no
120	0x6fc06260	NET_STORM_ApplyPatchesFromRegistry	SNetPerformUpgrade	no
121	0x6fc05740	STORMLIB_DequeueGameUnit	SNetReceiveMessage	no
122	0x6fc05170	ProcessUnitNetworkUpdate	SNetReceiveTurns	no
123	0x6fc01830	SNET_RegisterSNetEventHandler	SNetRegisterEventHandler	no
124	0x6fc000f0	ClearUnitTimersAndCooldowns	SNetResetLatencyMeasurements	no
125	0x6fc02080	PROP_InitPropertyStructures	SNetSelectGame	no
126	0x6fc07810	NET_CreateAndShowNetworkProviderDialog	SNetSelectProvider	no
127	0x6fc037f0	NET_SendBroadcastMessage	SNetSendMessage	no
128	0x6fc036c0	NET_BroadcastNetworkMessage	SNetSendTurn	no
129	0x6fc000c0	SetGameStateThreadSafe	SNetSetBasePlayer	no
130	0x6fc035d0	SetActiveGameUnitContext	SNetSetGameMode	no
131	0x6fc010f0	RemoveHashTableObject	SNetUnregisterEventHandler	no
133	0x6fc02250	CopyStructuresWithCallback	SNetEnumGamesEx	no
134	0x6fc029d0	GAME_CreateGameUnitFromName	SNetSendServerChatCommand	no
135	0x6fc03940	BroadcastNetworkMessageToUnits	SNetSend135	no
136	0x6fc059c0	DequeueGameUnitFromPool	SNetReceive136	no
137	0x6fc00e80	ApplyEffectToAllUnits	SNetGetPlayerNames	no
138	0x6fc03eb0	SNetCreateLadderGame	SNetCreateLadderGame	yes
139	0x6fc01720	SNET_InitializeGameObjects	SNetReportGameResult	no
140	0x6fc008c0	ExecuteRegisteredCallback	SNetCheckDataFile	no
201	0x6fc0fb50	STORM_HandleWindowPaint	SDlgBeginPaint	no
202	0x6fc111b0	AdjustBoundsAndRenderWindowRegion	SDlgBltToWindowI	no
203	0x6fc0d570	ProcessTimerQueue	SDlgCheckTimers	no
204	0x6fc11440	InitializeDialogWithClasses	SDlgCreateDialogIndirectParam	no
205	0x6fc114c0	CreateDialogFromResource	SDlgCreateDialogParam	no
206	0x6fc0cb60	DIALOG_HandleCtlColorMessage	SDlgDefDialogProc	no
208	0x6fc11350	STORM_ShowDialogFromTemplate	SDlgDialogBoxIndirectParam	no
209	0x6fc11460	STORM_ShowResourceModalDialog	SDlgDialogBoxParam	no
210	0x6fc0efc0	STORM_RenderWindowVisibilityRegion	SDlgDrawBitmap	no
211	0x6fc0cb20	EndDialogWithResult	SDlgEndDialog	no
212	0x6fc0caf0	g_pfnRenderWindowFrame	SDlgEndPaint	no
213	0x6fc0d460	SearchAndRemoveExceptionFramesByParams	SDlgKillTimer	no
214	0x6fc0d990	InitializeConfigurationBuffer	SDlgSetBaseFont	no
215	0x6fc0dbd0	AdjustAndCreateWindow	SDlgSetBitmapI	no
216	0x6fc0da10	STORM_CreateAndLayoutChildWindows	SDlgSetControlBitmaps	no
217	0x6fc0ca00	DIALOG_SetWindowClassAttribute	SDlgSetCursor	no
218	0x6fc0d000	InvalidateWindowHierarchyWithCursor	SDlgSetSystemCursor	no
219	0x6fc0d730	CreateEventRecordWithTimestamp	SDlgSetTimer	no
220	0x6fc0d420	HandleCursorPositionChange	SDlgUpdateCursor	no
221	0x6fc0f630	STORM_RenderWindowRegionWithCompositing	SDlgBltToWindowE	no
222	0x6fc0d780	STORM_CreateAndInitializeWindow	SDlgSetBitmapE	no
223	0x6fc0c9e0	SetLocale	SDlgSetLocale	yes
251	0x6fc17560	STORM_VerifyArchiveSignature	SFileAuthenticateArchive	no
252	0x6fc16cb0	ReleaseFileHandleWithRefCount	SFileCloseArchive	no
253	0x6fc16e20	ReleaseFileHandleWithRefCount	SFileCloseFile	no
254	0x6fc1ab30	OpenAudioStream	SFileDdaBegin	no
255	0x6fc1a650	SFileDdaBeginEx	SFileDdaBeginEx	yes
256	0x6fc16f30	DestroyAllGameObjects	SFileDdaDestroy	no
257	0x6fc181f0	RemoveGameObjectById	SFileDdaEnd	no
258	0x6fc166c0	FindItemById	SFileDdaGetPos	no
259	0x6fc165f0	GetItemByIdAndRetrieveValues	SFileDdaGetVolume	no
260	0x6fc165b0	SetConfigurationParameter	SFileDdaInitialize	no
261	0x6fc16500	UpdateItemProperties	SFileDdaSetVolume	no
262	0x6fc17020	TerminateGameSession	SFileDestroy	no
263	0x6fc15d70	SetGlobalValue	SFileEnableDirectAccess	no
264	0x6fc163d0	GetProtectedFieldValue	SFileGetFileArchive	no
265	0x6fc162d0	GetStreamFileSize	SFileGetFileSize	no
266	0x6fc1a0b0	OpenFileArchive	SFileOpenArchive	no
267	0x6fc18da0	OpenAndProcessFile	SFileOpenFile	no
268	0x6fc18960	SF_OpenAndValidateGameFile	SFileOpenFileEx	no
269	0x6fc19be0	ReadStreamData	SFileReadFile	no
270	0x6fc16190	ValidateAndSetGamePath	SFileSetBasePath	no
271	0x6fc16030	SeekInMemoryBuffer	SFileSetFilePointer	no
272	0x6fc15d20	SetGlobalUshortConfig	SFileSetLocale	no
273	0x6fc16b90	CopyMemoryThreadSafe	SFileGetBasePath	no
274	0x6fc15d30	SetLastInventoryItem	SFileSetIoErrorMode	no
275	0x6fc16430	SafeCopyDataWithLocking	SFileGetArchiveName	no
276	0x6fc16330	SafeCopyDataWithLocking	SFileGetFileName	no
277	0x6fc16490	GetEntityStateThreadSafe	SFileGetArchiveInfo	no
278	0x6fc15d10	SetGlobalConfigByte2	SFileSetPlatform	no
279	0x6fc19d90	ConstructFileAccessFlagsAndRead	SFileLoadFile	no
280	0x6fc16c40	SFILE_FreeMemoryBlockIfValid	SFileUnloadFile	no
281	0x6fc19d60	ExtractFileToMemory	SFileLoadFileEx	no
282	0x6fc181a0	ValidateAndSignalGameEvent	SFilePrioritizeRequest	no
283	0x6fc18370	STORM_RemoveGameObjectsByIdentifier	SFileCancelRequest	no
284	0x6fc15d50	STORM_SetErrorHandlingDisabled	SFileSetAsyncBudget	no
285	0x6fc16150	ValidatePowerOfTwo	SFileSetDataChunkSize	no
286	0x6fc15d60	SetErrorHandlingDisabled	SFileEnableSeekOptimization	no
287	0x6fc19bb0	ReadFileDataSync	SFileReadFileEx	no
288	0x6fc182b0	RemoveGameObjectContainerByID	SFileFileExists	no
289	0x6fc195b0	ReadArchiveFile	SFileFileExistsEx	no
290	0x6fc19c10	SFileReadFileEx	SFileReadFileEx2	yes
301	0x6fc15ba0	ShutdownGameAndCleanup	StormDestroy	no
302	0x6fc159b0	GetLastError	StormGetInstance	no
303	0x6fc15aa0	STORM_RetrieveDataPointerBySelector	StormGetOption	no
304	0x6fc159c0	ValidateAndStoreConfigParameter	StormSetOption	no
312	0x6fc27ed0	EncodeAndPopulateCacheBuffer	SBltGetSCode	no
313	0x6fc282c0	DispatchBufferSyncWithJumptable	SBltROP3	no
314	0x6fc285c0	ClipRectangleRegion	SBltROP3Clipped	no
315	0x6fc28470	ClipRectangleWithOffset	SBltROP3Tiled	no
321	0x6fc229c0	ProcessImageFormatDispatcher	SBmpDecodeImage	no
323	0x6fc23ea0	STORM_ValidateAndProcessStreamFormat	SBmpLoadImage	no
324	0x6fc233c0	SaveScreenCaptureToFile	SBmpSaveImage	no
325	0x6fc233f0	LoadAndParseImageFile	SBmpAllocLoadImage	no
326	0x6fc231f0	SBmpSaveImageEx	SBmpSaveImageEx	yes
331	0x6fc2a330	SCODE_ProcessAudioStreamWithFormat	SCodeCompile	no
332	0x6fc28eb0	DestroyResourceManager	SCodeDelete	no
334	0x6fc287f0	SynchronizeMemoryBuffer	SCodeExecute	no
335	0x6fc2a200	ParseCodeStream	SCodeGetPseudocode	no
341	0x6fc09e90	SDRAW_InitializeGameWindow	SDrawAutoInitialize	no
