dll,rva,ord,type,who,kind,target,len
Game.exe,0x07640,,inline-edit,PD2:PD2_EXT.dll,rel-branch,0x6E6E1000,4
Game.exe,0x082DE,,inline-edit,PD2:PD2_EXT.dll,rel-branch,0x6E6E1080,4
Game.exe,0x083EF,,NOP-out,logic-nop,code-removed,,33
D2Win.dll,0x175C8,10149,CALL-patch,PD2:SGD2FreeRes.dll,control-redirect,0x6C7D19E0,17
D2Win.dll,0x175E6,10149,NOP-out,logic-nop,code-removed,,3
D2Win.dll,0x181E2,10144,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10187CB0,4
D2Win.dll,0x18258,10144,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10187CB0,4
D2Win.dll,0x187E0,10024,JMP-detour,HARNESS:D2Debugger,control-redirect,0x6C9B5CD0,8
D2Win.dll,0x18911,10024,CALL-patch,PD2:BH.dll,control-redirect,0x03E8D360,5
D2Win.dll,0x18A5D,10014,NOP-out,logic-nop,code-removed,,6
D2Win.dll,0x1A2A1,10014,inline-edit,logic-inline,value-edit,,18
D2sound.dll,0x07F26,10010,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10195550,4
D2sound.dll,0x082FB,10070,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10195560,4
D2sound.dll,0x09A21,10013,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199DF0,4
D2sound.dll,0x09A51,10040,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199DF0,4
D2sound.dll,0x09A81,10022,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199DF0,4
D2sound.dll,0x09AB1,10004,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199DF0,4
D2sound.dll,0x09AE1,10029,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199DF0,4
D2sound.dll,0x09B11,10066,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199DF0,4
D2sound.dll,0x09B79,10042,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2sound.dll,0x09B9F,10042,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2sound.dll,0x09BC5,10042,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2sound.dll,0x09BEB,10042,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2sound.dll,0x09C11,10042,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2sound.dll,0x09C37,10042,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2MCPClient.dll,0x0644C,10021,inline-edit,logic-inline,value-edit,,1
D2MCPClient.dll,0x069D7,10050,CALL-patch,PD2:BH.dll,control-redirect,0x03E8D3D0,5
Fog.dll,0x17E75,10116,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199BD0,4
Fog.dll,0x17EA8,10116,inline-edit,PD2:PD2_EXT.dll,rel-branch,0x6E6E1050,4
Fog.dll,0x17EC2,10116,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199D40,4
Fog.dll,0x17F75,10115,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199BD0,4
Fog.dll,0x17FB8,10115,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199D40,4
D2gfx.dll,0x07FD0,10025,CALL-patch,PD2:SGD2FreeRes.dll,control-redirect,0x6C7D1960,36
D2gfx.dll,0x0811B,10067,CALL-patch,PD2:SGD2FreeRes.dll,control-redirect,0x6C7D1900,65
D2gfx.dll,0x083CE,10060,CALL-patch,PD2:SGD2FreeRes.dll,control-redirect,0x6C7D18E0,61
D2gfx.dll,0x0AF0A,10085,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2gfx.dll,0x0AF38,10085,inline-edit,PD2:ProjectDiablo.dll,rel-branch,0x10199C90,4
D2Lang.dll,0x092B2,10009,inline-edit,logic-inline,value-edit,,3
D2COMMON.dll,0x01150,,JMP-detour,HARNESS:D2MOO-reimpl,control-redirect,0x6CAD3FC0,10
D2COMMON.dll,0x01250,,JMP-detour,HARNESS:D2MOO-reimpl,control-redirect,0x6CAD3FD0,10
