primary,ordinal,subsystem,name,sites,bytes,patch_types,attributed_to
PD2 (ProjectDiablo.dll),10797,ANIM,ANIM_GetFrameData,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10358,ANIM,ANIM_SetUnitMode,2,8,inline-edit:2,PD2 (ProjectDiablo.dll):2
PD2 (ProjectDiablo.dll),10454,CHAT,CHAT_AllocResourceSlot,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10910,DATATBLS,DATATBLS_GetItemStatCostValue,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10387,INV,INV_AllocInventory,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10964,INV,INV_FindInventoryCharmByTier,2,8,inline-edit:2,PD2 (ProjectDiablo.dll):2
PD2 (ProjectDiablo.dll),10956,INV,INV_FindItemSlot,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),11095,INV,INV_RemoveAndDeallocateItemData,7,34,inline-edit:7,PD2 (ProjectDiablo.dll):6; PD2 inline logic/data edit:1
PD2 (ProjectDiablo.dll),10946,INVENTORY,INVENTORY_CanEquipItemInBodyLoc,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10836,INVENTORY,INVENTORY_FindIdenticalItemWithHigherStat,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10890,ITEMS,ITEMS_ApplyEtherealBonus,9,52,inline-edit:9,PD2 (ProjectDiablo.dll):7; PD2 inline logic/data edit:2
PD2 (ProjectDiablo.dll),10914,ITEMS,ITEMS_DispatchEvent7,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10010,ITEMS,ITEMS_FindUnitByType,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10457,ITEMS,ITEMS_RebuildEquippedVisualComponents,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10413,MISSILE,MISSILE_CalcMissileDamageOutput,5,20,inline-edit:5,PD2 (ProjectDiablo.dll):5
PD2 (ProjectDiablo.dll),10347,MISSILE,MISSILE_GetParamValue,19,76,inline-edit:19,PD2 (ProjectDiablo.dll):19
PD2 (ProjectDiablo.dll),11104,MONSTER,MONSTER_GetBossCategory,1,26,CALL-patch:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10447,Misc,AdvanceEnvironmentDirection,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10666,Misc,AreUnitsInSameModifierTier,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10974,Misc,BinkBufferGetError,1,6,CALL-patch:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10107,Misc,CalculateItemValueWrapper,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10244,Misc,CheckItemEquipRequirements,2,45,inline-edit:1; partial-NOP:1,PD2 (ProjectDiablo.dll):1; PD2 inline logic/data edit:1
PD2 (ProjectDiablo.dll),10195,Misc,FindRoomUnitByTypeFlagsValidated,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10848,Misc,GetBitfieldArraySize,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10973,Misc,GetUnitBaseStat,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10830,Misc,GetUnitModifierStatValue,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10803,Misc,ValidateSkillPrerequisites,2,8,inline-edit:2,PD2 (ProjectDiablo.dll):2
PD2 (ProjectDiablo.dll),10135,PATH,PATH_EvalEnvAnimVelocity,1,4,inline-edit:1,PD2 (ProjectDiablo.dll):1
PD2 (ProjectDiablo.dll),10337,PATH,PATH_InitVelocityFromDirection,2,8,inline-edit:2,PD2 (ProjectDiablo.dll):2
