pref_addr	pref_base	ordinal	category	name
0x6fe19720	0x6fe10000	10003	DATATBLS	DATATBLS_LoadTileProject
0x6fe19880	0x6fe10000	10096	CMP	CMP_FreeAllTileProjects
0x6fe199d0	0x6fe10000	10033	Misc	SetColorTransformTable
0x6fe19a00	0x6fe10000	10052	Misc	SetErrorHandlingDisabled
0x6fe19a10	0x6fe10000	10026	DATATBLS	DATATBLS_FindNearestPaletteColorFiltered
0x6fe19af0	0x6fe10000	10066	Misc	SetErrorHandlingDisabled
0x6fe19c60	0x6fe10000	10029	ANIM	ANIM_SetRenderKeyColor
0x6fe19cc0	0x6fe10000	10084	Misc	FindMostDistantPaletteEntry
0x6fe19d30	0x6fe10000	10049	Misc	FindNearestPaletteColor
0x6fe19da0	0x6fe10000	10041	Misc	FreeSurfaceMemory
0x6fe1a250	0x6fe10000	10039	Misc	QuantizeRGBAToIndexedColor
0x6fe1a2e0	0x6fe10000	10040	ANIM	ANIM_LoadPaletteFromACTFile
0x6fe1b920	0x6fe10000	10101	Misc	BuildAdditiveBlendTable
0x6fe1b930	0x6fe10000	10042	CMP	CMP_BuildPaletteTransformTables
0x6fe1ba00	0x6fe10000	10044	DATATBLS	DATATBLS_InitPaletteTransformTables
0x6fe1ba20	0x6fe10000	10053	Misc	ShutdownStubNoOp
0x6fe1ba30	0x6fe10000	10028	Misc	StubOrdinal10183
0x6fe1ba40	0x6fe10000	10009	Misc	ShutdownStubNoOp
0x6fe1ba50	0x6fe10000	10062	Misc	ShutdownStubNoOp
0x6fe1ba60	0x6fe10000	10064	Misc	ClearUnitSelectionState
0x6fe1ba70	0x6fe10000	10074	Misc	GetCelRenderState
0x6fe1bbb0	0x6fe10000	10054	CMP	CMP_InitializeCelCache
0x6fe1bc60	0x6fe10000	10078	Misc	FlushCelCache
0x6fe1bc90	0x6fe10000	10106	DATATBLS	DATATBLS_LoadCelDataCached
0x6fe1bd70	0x6fe10000	10089	Misc	ShutdownCelCache
0x6fe1bdb0	0x6fe10000	10076	Misc	CleanupPendingAsyncHandles
0x6fe1be10	0x6fe10000	10055	Misc	FindAsyncSpriteByParams
0x6fe1bea0	0x6fe10000	10092	Misc	CountCompletedAsyncSprites
0x6fe1c250	0x6fe10000	10010	Misc	GetLastError
0x6fe1c260	0x6fe10000	10082	Misc	GetLastError
0x6fe1c270	0x6fe10000	10058	Misc	GetLastError
0x6fe1c280	0x6fe10000	10032	ANIM	ANIM_GetSpriteProcessingStatus
0x6fe1c9a0	0x6fe10000	10019	Misc	InitializeCompressedGameData
0x6fe1c9d0	0x6fe10000	10070	Misc	GetGameStructureSelector
0x6fe1cfa0	0x6fe10000	10071	Misc	ShutdownStubNoOp
0x6fe1cfb0	0x6fe10000	10077	Misc	ShutdownStubNoOp
0x6fe1d1f0	0x6fe10000	10037	Misc	FormatSpriteErrorMessage
