pref_addr	pref_base	ordinal	category	name
0x6fd59c00	0x6fd50000	10794	Misc	GetDrlgDataRecordOffset
0x6fd59c20	0x6fd50000	10222	Misc	GetPointerFromOffset0x20
0x6fd59d90	0x6fd50000	10850	DRLG	DRLG_FreeResourceBufferPair
0x6fd59dd0	0x6fd50000	10171	Misc	ExtractAndClearValue
0x6fd59de0	0x6fd50000	10496	DRLG	DRLG_CopyPresetDataArray
0x6fd5a090	0x6fd50000	10039	DATATBLS	DATATBLS_GetDataTableRowValue
0x6fd5a0b0	0x6fd50000	10726	Misc	GetDataTableRowEntryCount
0x6fd5ce90	0x6fd50000	10203	Misc	GetPathFlagBit3
0x6fd5d180	0x6fd50000	10493	MISSILE	MISSILE_CalcProximityScore
0x6fd5d3d0	0x6fd50000	10369	PATH	PATH_HasReachedTarget
0x6fd5d820	0x6fd50000	10831	Misc	AdvanceUnitPathStep
0x6fd5dab0	0x6fd50000	11121	PATH	PATH_SyncUnitPositionFromPath
0x6fd5db40	0x6fd50000	10770	PATH	PATH_SetWorldPositionFromFixedPoint
0x6fd5dce0	0x6fd50000	10223	PATH	PATH_SetPositionAndSnapToGrid
0x6fd5e150	0x6fd50000	10906	PATH	PATH_GetNodeNextPtr
0x6fd5e1a0	0x6fd50000	10075	PATH	PATH_HandleForceTeleport
0x6fd5e1e0	0x6fd50000	10533	COLLISION	COLLISION_HandleTeleport
0x6fd5e230	0x6fd50000	10342	PATH	PATH_StepUnitAlongPath
0x6fd62000	0x6fd50000	10344	Misc	FreeTrackedPoolAllocation
0x6fd62030	0x6fd50000	10591	UNIT	UNIT_InitUnitFindCtx
0x6fd62140	0x6fd50000	10301	ROOM	ROOM_CollectFilteredRoomUnits
0x6fd622b0	0x6fd50000	10754	UNITS	UNITS_FindUnitInRoomCollection
0x6fd62330	0x6fd50000	10314	Misc	GetSubStructDimension
0x6fd62450	0x6fd50000	10933	ITEMS	ITEMS_CanItemFitInStoragePage
0x6fd624e0	0x6fd50000	11106	UNIT	UNIT_FindUnitInAreaFilter
0x6fd62720	0x6fd50000	10052	UNITS	UNITS_FindUnitsInRooms
0x6fd62890	0x6fd50000	11126	LOG	LOG_WriteDebugMessage
0x6fd62a90	0x6fd50000	10966	Misc	SetGlobalValue11103
