pref_addr	pref_base	ordinal	category	name
0x6fc331c0	0x6fc20000	10013	Misc	GetLastError
0x6fc497c0	0x6fc20000	10032	Misc	StubReturnZero
0x6fc497f0	0x6fc20000	10043	Misc	SetErrorHandlingDisabled
0x6fc49800	0x6fc20000	10026	Misc	SetGameFrameRate
0x6fc49ad0	0x6fc20000	10007	Misc	IdentityPassthrough
0x6fc49ae0	0x6fc20000	10011	Misc	GetGameServerConfig
0x6fc49b00	0x6fc20000	10050	Misc	GetLastError
0x6fc49b10	0x6fc20000	10022	Misc	GetActiveGameCountAlt
0x6fc4a1f0	0x6fc20000	10052	Misc	SetGameTimerValue
0x6fc4a210	0x6fc20000	10017	Misc	SetErrorHandlingDisabled
0x6fc4a330	0x6fc20000	10048	Misc	SetGameServerCallback
0x6fc4a370	0x6fc20000	10037	Misc	SetGameEventHandler
0x6fc4a6d0	0x6fc20000	10012	Misc	Unwind@6fd179c0
0x6fc4a9a0	0x6fc20000	10047	GAME	GAME_ShutdownServer
0x6fc4ad80	0x6fc20000	10028	NET	NET_ProcessTermination
0x6fc4ae40	0x6fc20000	10033	GAME	GAME_DequeueExpiredTimerEvent
0x6fc4af80	0x6fc20000	10059	Misc	GetCurrentGameSessionToken
0x6fc4b050	0x6fc20000	10025	Misc	GetGameSessionInfo
0x6fc4b160	0x6fc20000	10014	Misc	GameStubReturnTrue
0x6fc4b350	0x6fc20000	10001	GAME	GAME_ProcessUnitsInRooms
0x6fc4b440	0x6fc20000	10053	Misc	EnqueueGameEvent
0x6fc4b4d0	0x6fc20000	10060	Misc	GetActiveUnitCount
0x6fc4b550	0x6fc20000	10009	GAME	GAME_GatherSessionStats
0x6fc4b7c0	0x6fc20000	10045	Misc	BuildGameTimeBucketHistogram
0x6fc4b840	0x6fc20000	10000	GAME	GAME_IncrementUnitActionCount
0x6fc4b900	0x6fc20000	10054	SLOTS	SLOTS_IncrementSlotRefCount
0x6fc4b9a0	0x6fc20000	10031	Misc	GetLastError
0x6fc4bd70	0x6fc20000	10055	Misc	IdentityPassthrough
0x6fc4c570	0x6fc20000	10044	GAME	GAME_InitGameSession
0x6fc4cfd0	0x6fc20000	10003	GAME	GAME_RemovePlayerFromSession
0x6fc4d3b0	0x6fc20000	10035	GAME	GAME_HandleClientData
0x6fc4d4b0	0x6fc20000	10038	Misc	InitializeGameServer
0x6fc4d820	0x6fc20000	10006	GAME	GAME_DisconnectAllPlayers
0x6fc4dec0	0x6fc20000	10034	NET	NET_HandlePlayerDisconnectRequest
0x6fc4df10	0x6fc20000	10024	GAME	GAME_UpdateGameSessionTimers
0x6fc4e1e0	0x6fc20000	10008	Misc	BroadcastGameCommand
0x6fc4e460	0x6fc20000	10040	NET	NET_ProcessPacketQueues
0x6fc53970	0x6fc20000	10027	Misc	IsPlayerInGameSession
0x6fc539e0	0x6fc20000	10051	Misc	GetQuestChainData
0x6fc57430	0x6fc20000	10049	Misc	SetGameLogLevel
0x6fc58bb0	0x6fc20000	10029	Misc	CancelScreenFade
0x6fc58bc0	0x6fc20000	10042	Misc	GetTimerQueueNextEventDelay
0x6fc58c70	0x6fc20000	10005	GAME	GAME_CleanupSessionItems
0x6fc58d40	0x6fc20000	10018	Misc	SetGameEventHandler
0x6fc58dc0	0x6fc20000	10039	GAME	GAME_AcquireSessionAndFindUnit
0x6fc61f40	0x6fc20000	10030	Misc	StubNoOp
0x6fc66b10	0x6fc20000	10023	Misc	StubNoOp
0x6fc6c180	0x6fc20000	10041	Misc	StubNoOp
0x6fc72010	0x6fc20000	10057	Misc	ShutdownStubNoOp
0x6fc72090	0x6fc20000	10058	GAME	GAME_CleanupAllGameEventQueues
0x6fc72140	0x6fc20000	10016	Misc	InitializePerformanceFrequency
0x6fc72240	0x6fc20000	10036	Misc	GetTimerQueueNextEventDelay
0x6fc722d0	0x6fc20000	10056	Misc	DequeueExpiredTimerEvent
0x6fc72390	0x6fc20000	10015	Misc	EnqueueGameEvent
0x6fc72650	0x6fc20000	10021	Misc	AllocateTimerQueueSlot
0x6fc729f0	0x6fc20000	10002	GAME	GAME_EnqueueTimerEvent
0x6fc732b0	0x6fc20000	10019	Misc	SetGlobalValue11103
0x6fc74400	0x6fc20000	10004	PLAYER	PLAYER_HandleDisconnect
0x6fcd87b0	0x6fc20000	10020	Misc	GameStubReturnTrueAlt
0x6fcd87c0	0x6fc20000	10046	Misc	GameStubReturnTrueAlt
0x6fcfb860	0x6fc20000	10010	DRLG	DRLG_GenerateBoundedRandomPair
