pref_addr	pref_base	ordinal	category	name
0x6fa87c80	0x6fa80000	10076	CLIENT	CLIENT_DrawPrimitive
0x6fa87cc0	0x6fa80000	10003	Misc	HideAppBarWindows
0x6fa87d00	0x6fa80000	10039	D2GFX	D2GFX_CollapseAppBars
0x6fa87da0	0x6fa80000	10052	CLIENT	CLIENT_InvokeRendererFunc12
0x6fa87de0	0x6fa80000	10024	D2GFX	D2GFX_InvokeRendererFunc
0x6fa87e20	0x6fa80000	10000	D2GFX	D2GFX_DispatchRenderCommand
0x6fa87e60	0x6fa80000	10063	CLIENT	CLIENT_CallRendererByIndexF
0x6fa87e90	0x6fa80000	10027	CLIENT	CLIENT_DispatchRenderCommand
0x6fa87ed0	0x6fa80000	10044	CLIENT	CLIENT_InvalidateRect
0x6fa87f00	0x6fa80000	10086	CLIENT	CLIENT_EndScene
0x6fa87f10	0x6fa80000	10056	CLIENT	CLIENT_SetWindowMode
0x6fa87f50	0x6fa80000	10032	CLIENT	CLIENT_IsRendererReadyFullscreen
0x6fa87f70	0x6fa80000	10080	GFX	GFX_InvokeRendererFunction
0x6fa87fb0	0x6fa80000	10048	Misc	GetHwndGame
0x6fa87fc0	0x6fa80000	10059	CLIENT	CLIENT_SetGraphicsState
0x6fa87fd0	0x6fa80000	10025	D2GFX	D2GFX_GetDisplaySize
0x6fa880d0	0x6fa80000	10067	D2GFX	D2GFX_SetWindowPosition
0x6fa88290	0x6fa80000	10029	D2GFX	D2GFX_SetSystemCursorVisible
0x6fa882d0	0x6fa80000	10026	GFX	GFX_ShutdownDisplay
0x6fa88360	0x6fa80000	10060	D2GFX	D2GFX_ChangeDisplayMode
0x6fa885a0	0x6fa80000	10072	D2GFX	D2GFX_CreateGameWindow
0x6fa888b0	0x6fa80000	10043	CLIENT	CLIENT_GetAppBarRightEdge
0x6fa888c0	0x6fa80000	10005	D2GFX	D2GFX_SetDisplayMode
0x6fa8adb0	0x6fa80000	10051	CLIENT	CLIENT_IsHardwareRendering
0x6fa8adc0	0x6fa80000	10017	CLIENT	CLIENT_RenderFrame
0x6fa8add0	0x6fa80000	10040	CLIENT	CLIENT_InitVideoDevice
0x6fa8adf0	0x6fa80000	10085	GFX	GFX_InvokeRenderer6
0x6fa8af90	0x6fa80000	10064	CLIENT	CLIENT_RenderPresent
0x6fa8afb0	0x6fa80000	10046	RENDERER	RENDERER_InvokeIndex37
0x6fa8afd0	0x6fa80000	10011	RENDER	RENDER_CallIndex36
0x6fa8aff0	0x6fa80000	10079	Misc	RenderInvoke
0x6fa8b020	0x6fa80000	10074	CLIENT	CLIENT_InvokeRendererConditional
0x6fa8b050	0x6fa80000	10019	CLIENT	CLIENT_InvokeRendererDirect
0x6fa8b080	0x6fa80000	10041	CLIENT	CLIENT_DispatchRenderer
0x6fa8b0b0	0x6fa80000	10016	RENDERER	RENDERER_DispatchIndex32
0x6fa8b0e0	0x6fa80000	10038	GFX	GFX_InvokeRendererEndScene
0x6fa8b100	0x6fa80000	10022	CLIENT	CLIENT_RenderByOrdinal_1d
0x6fa8b120	0x6fa80000	10061	CLIENT	CLIENT_CopyVideoMemory
0x6fa8b180	0x6fa80000	10068	GFX	GFX_CallRenderFunc12
0x6fa8b190	0x6fa80000	10006	CLIENT	CLIENT_SetDisplayMode
0x6fa8b1a0	0x6fa80000	10073	CLIENT	CLIENT_RenderPresent
0x6fa8b1b0	0x6fa80000	10066	GFX	GFX_DisableFlag
0x6fa8b1c0	0x6fa80000	10007	CLIENT	CLIENT_SetGraphicsFlagBF0
0x6fa8b1d0	0x6fa80000	10082	RENDERER	RENDERER_PresentBackBuffer
0x6fa8b1e0	0x6fa80000	10034	CLIENT	CLIENT_SetRenderState
0x6fa8b200	0x6fa80000	10062	CLIENT	CLIENT_SetSkipTileCulling
0x6fa8b210	0x6fa80000	10047	CLIENT	CLIENT_GetSkipTileCulling
0x6fa8b220	0x6fa80000	10053	GFX	GFX_ToggleTileCulling
0x6fa8b240	0x6fa80000	10033	Misc	SetGraphicsStateValue
0x6fa8b250	0x6fa80000	10030	GFX	GFX_GetGraphicsStateValue
0x6fa8b260	0x6fa80000	10049	GRAPHICS	GRAPHICS_ToggleGrStateValue
0x6fa8b280	0x6fa80000	10081	Misc	RegisterShutdownCallback
0x6fa8b290	0x6fa80000	10013	Misc	GetSafeShutdownPtr
0x6fa8b2b0	0x6fa80000	10055	Misc	RegisterShutdownCallback
0x6fa8b2d0	0x6fa80000	10077	Misc	IsAdvancedRendererType
0x6fa8b2e0	0x6fa80000	10083	CLIENT	CLIENT_SetLegacyRendererMode
0x6fa8b300	0x6fa80000	10065	CLIENT	CLIENT_IsGFXDisabled
0x6fa8b310	0x6fa80000	10036	CLIENT	CLIENT_GetLegacyRendererMode
0x6fa8b320	0x6fa80000	10031	CLIENT	CLIENT_GetDisplayMode
0x6fa8b330	0x6fa80000	10004	Misc	GetWindowMode
0x6fa8b340	0x6fa80000	10078	Misc	GetRendererType
0x6fa8b350	0x6fa80000	10018	CLIENT	CLIENT_GetFalse
0x6fa8b4b0	0x6fa80000	10084	CLIENT	CLIENT_CleanupGfxOnInitFailure
0x6fa8b580	0x6fa80000	10015	CLIENT	CLIENT_RegisterMainWindowClassAndInitRenderer
0x6fa8b6e0	0x6fa80000	10037	D2GFX	D2GFX_ShutdownRendererIfValid
0x6fa8b730	0x6fa80000	10002	CLIENT	CLIENT_ShutdownRendererIfValid
0x6fa8b7a0	0x6fa80000	10023	D2GFX	D2GFX_CallRenderer
0x6fa8b800	0x6fa80000	10057	D2GFX	D2GFX_Close
0x6fa8b870	0x6fa80000	10009	D2GFX	D2GFX_ClampPrevRendererState
0x6fa8b8a0	0x6fa80000	10042	D2GFX	D2GFX_ClampRendererState
0x6fa8b8d0	0x6fa80000	10054	CLIENT	CLIENT_SetPrev2RendererState
0x6fa8b8f0	0x6fa80000	10008	CLIENT	CLIENT_GetPrevious2RendererState
0x6fa8b900	0x6fa80000	10020	CLIENT	CLIENT_RestorePreviousRendererState
0x6fa8b920	0x6fa80000	10012	D2GFX	D2GFX_ValidateShutdownContext
0x6fa8b9a0	0x6fa80000	10021	CLIENT	CLIENT_CallRenderer31
0x6fa8b9c0	0x6fa80000	10010	CLIENT	CLIENT_RenderByOrdinal
0x6fa8b9f0	0x6fa80000	10045	CLIENT	CLIENT_ValidateRenderBounds
0x6fa8ba30	0x6fa80000	10014	CLIENT	CLIENT_ValidateRenderBounds
0x6fa8ba70	0x6fa80000	10028	CLIENT	CLIENT_InvokeRenderer0x2d
0x6fa8ba90	0x6fa80000	10071	CLIENT	CLIENT_InvokeRenderer0x2c
0x6fa8bab0	0x6fa80000	10035	CLIENT	CLIENT_RenderFrame
0x6fa8bad0	0x6fa80000	10070	CLIENT	CLIENT_RenderFrame
0x6fa8baf0	0x6fa80000	10069	CLIENT	CLIENT_RenderInvoke
0x6fa8bb20	0x6fa80000	10058	CLIENT	CLIENT_InvokeRendererCallback28
0x6fa8bb50	0x6fa80000	10001	CLIENT	CLIENT_InvokeRendererFunc
0x6fa8bb80	0x6fa80000	10075	CLIENT	CLIENT_RenderDispatch33
0x6fa8bba0	0x6fa80000	10050	GFX	GFX_InvokeRendererCallback
0x6fa9d470	0x6fa80000	10087	Misc	?rInitialWindowRect@@3UtagRECT@@A
