pref_addr	pref_base	ordinal	category	name
0x6fc01000	0x6fc10000	10014	Unnamed	Ordinal_10014
0x6fc01010	0x6fc10000	10016	Unnamed	Ordinal_10016
0x6fc01020	0x6fc10000	10030	Unnamed	Ordinal_10030
0x6fc01040	0x6fc10000	10028	Unnamed	Ordinal_10028
0x6fc01050	0x6fc10000	10029	Unnamed	Ordinal_10029
0x6fc01070	0x6fc10000	10024	Unnamed	Ordinal_10024
0x6fc01080	0x6fc10000	10025	Unnamed	Ordinal_10025
0x6fc010a0	0x6fc10000	10052	Unnamed	Ordinal_10052
0x6fc010c0	0x6fc10000	10050	Unnamed	Ordinal_10050
0x6fc010e0	0x6fc10000	10021	Unnamed	Ordinal_10021
0x6fc01120	0x6fc10000	10022	Unnamed	Ordinal_10022
0x6fc01160	0x6fc10000	10031	Unnamed	Ordinal_10031
0x6fc011a0	0x6fc10000	10037	Unnamed	Ordinal_10037
0x6fc011b0	0x6fc10000	10015	Unnamed	Ordinal_10015
0x6fc011c0	0x6fc10000	10017	Unnamed	Ordinal_10017
0x6fc081f0	0x6fc10000	10023	Unnamed	Ordinal_10023
0x6fc082c0	0x6fc10000	10026	Unnamed	Ordinal_10026
0x6fc082f0	0x6fc10000	10055	Unnamed	Ordinal_10055
0x6fc08320	0x6fc10000	10062	Unnamed	Ordinal_10062
0x6fc08370	0x6fc10000	10059	Unnamed	Ordinal_10059
0x6fc08630	0x6fc10000	10027	Unnamed	Ordinal_10027
0x6fc08740	0x6fc10000	10018	Unnamed	Ordinal_10018
0x6fc08cd0	0x6fc10000	10051	Unnamed	Ordinal_10051
0x6fc08d70	0x6fc10000	10057	Unnamed	Ordinal_10057
0x6fc08e30	0x6fc10000	10060	Unnamed	Ordinal_10060
0x6fc08e80	0x6fc10000	10053	Unnamed	Ordinal_10053
0x6fc08ed0	0x6fc10000	10061	Unnamed	Ordinal_10061
0x6fc08fe0	0x6fc10000	10000	STRING	STRING_ComputeStringHash
0x6fc09180	0x6fc10000	10013	STRING	STRING_GetSystemLanguageId
0x6fc09290	0x6fc10000	10009	Misc	GetCurrentLanguageId
0x6fc092f0	0x6fc10000	10001	Misc	ComputeCrc16Range
0x6fc09450	0x6fc10000	10003	Misc	ValidateStringTableIndex
0x6fc09790	0x6fc10000	10007	Misc	FormatNumberWithSuffix
0x6fc09940	0x6fc10000	10012	STRING	STRING_FormatInt64ToUnicodeWithCommas
0x6fc09a80	0x6fc10000	10006	Misc	FormatUnsignedLongToUnicodeWithCommas
0x6fc09bc0	0x6fc10000	10002	STRING	STRING_FormatIntegerWithThousandSeparators
0x6fc09d00	0x6fc10000	10004	STRING	STRING_GetLanguageString
0x6fc09e20	0x6fc10000	10005	Misc	UnloadStringTables
0x6fc0a130	0x6fc10000	10008	STRING	STRING_InitStringTables
0x6fc0a7b0	0x6fc10000	10010	Misc	GetStringIndexByKey
0x6fc0a8a0	0x6fc10000	10011	STRING	STRING_GetStringIndex
0x6fc0a9d0	0x6fc10000	10032	Unnamed	Ordinal_10032
0x6fc0ac40	0x6fc10000	10058	Unnamed	Ordinal_10058
0x6fc0acf0	0x6fc10000	10056	Unnamed	Ordinal_10056
0x6fc0ad90	0x6fc10000	10049	Unnamed	Ordinal_10049
0x6fc0ae40	0x6fc10000	10054	Unnamed	Ordinal_10054
0x6fc0af20	0x6fc10000	10048	Unnamed	Ordinal_10048
0x6fc0afc0	0x6fc10000	10038	Unnamed	Ordinal_10038
0x6fc0afe0	0x6fc10000	10034	Unnamed	Ordinal_10034
0x6fc0b020	0x6fc10000	10046	Unnamed	Ordinal_10046
0x6fc0b0b0	0x6fc10000	10040	Unnamed	Ordinal_10040
0x6fc0b0d0	0x6fc10000	10044	Unnamed	Ordinal_10044
0x6fc0b120	0x6fc10000	10041	Unnamed	Ordinal_10041
0x6fc0b170	0x6fc10000	10035	Unnamed	Ordinal_10035
0x6fc0b1b0	0x6fc10000	10042	Unnamed	Ordinal_10042
0x6fc0b200	0x6fc10000	10036	Unnamed	Ordinal_10036
0x6fc0b250	0x6fc10000	10033	Unnamed	Ordinal_10033
0x6fc0b560	0x6fc10000	10045	Unnamed	Ordinal_10045
0x6fc0b610	0x6fc10000	10039	Unnamed	Ordinal_10039
0x6fc0b680	0x6fc10000	10047	Unnamed	Ordinal_10047
0x6fc0b7a0	0x6fc10000	10043	Unnamed	Ordinal_10043
0x6fc0fee8	0x6fc10000	10020	Misc	?_toUpperTable@Unicode@@0PAGA
0x6fc100e8	0x6fc10000	10019	Misc	?_toLowerTable@Unicode@@0PAGA
