pref_addr	pref_base	ordinal	category	name
0x6fa25e40	0x6fa20000	10001	Misc	SetGlobalValue11103
0x6fa25e50	0x6fa20000	10046	Misc	InitializeStateCallbackAndData
0x6fa25e60	0x6fa20000	10029	Misc	SetGlobalValue11103
0x6fa25e70	0x6fa20000	10021	Misc	SetGlobalValue11103
0x6fa265d0	0x6fa20000	10034	CLIENT	CLIENT_LoadConfigHeader
0x6fa26710	0x6fa20000	10056	Misc	GetLastError
0x6fa26720	0x6fa20000	10016	Misc	SetErrorHandlingDisabled
0x6fa26730	0x6fa20000	10053	Misc	GetLastError
0x6fa26740	0x6fa20000	10055	Misc	SetErrorHandlingDisabled
0x6fa26750	0x6fa20000	10009	Misc	GetLastError
0x6fa26760	0x6fa20000	10026	Misc	GetLastError
0x6fa26770	0x6fa20000	10022	Misc	SetErrorHandlingDisabled
0x6fa26780	0x6fa20000	10014	Misc	GetLastError
0x6fa26790	0x6fa20000	10033	Misc	SetErrorHandlingDisabled
0x6fa267a0	0x6fa20000	10005	Misc	GetLastError
0x6fa267b0	0x6fa20000	10047	Misc	SetErrorHandlingDisabled
0x6fa267c0	0x6fa20000	10051	Misc	GetLastError
0x6fa267d0	0x6fa20000	10017	Misc	ClearMcpErrorBuffer
0x6fa267f0	0x6fa20000	10000	Misc	BinkBufferGetError
0x6fa26800	0x6fa20000	10040	CLIENT	CLIENT_StoreConfigParams
0x6fa26840	0x6fa20000	10043	CLIENT	CLIENT_CopyStaticStringToOffsets
0x6fa26880	0x6fa20000	10015	Misc	SetErrorHandlingDisabled
0x6fa26890	0x6fa20000	10048	Misc	GetLastError
0x6fa268a0	0x6fa20000	10059	Misc	GetLastError
0x6fa268b0	0x6fa20000	10025	Misc	SetErrorHandlingDisabled
0x6fa268c0	0x6fa20000	10023	Misc	SetErrorHandlingDisabled
0x6fa268d0	0x6fa20000	10062	Misc	GetLastError
0x6fa268e0	0x6fa20000	10045	Misc	SetErrorHandlingDisabled
0x6fa268f0	0x6fa20000	10011	Misc	GetLastError
0x6fa26900	0x6fa20000	10019	Misc	SetErrorHandlingDisabled
0x6fa26910	0x6fa20000	10037	Misc	GetLastError
0x6fa26920	0x6fa20000	10061	Misc	SetErrorHandlingDisabled
0x6fa26930	0x6fa20000	10028	Misc	GetLastError
0x6fa26940	0x6fa20000	10036	Misc	GetLastError
0x6fa26950	0x6fa20000	10002	Misc	SetErrorHandlingDisabled
0x6fa26960	0x6fa20000	10010	Misc	GetLastError
0x6fa26970	0x6fa20000	10027	NET	NET_GetLastEncodeContext
0x6fa26980	0x6fa20000	10020	Misc	BinkBufferGetError
0x6fa26990	0x6fa20000	10050	Misc	ExecuteEntityOperationDispatch
0x6fa269f0	0x6fa20000	10054	NET	NET_GetPeerAddressIfOnline
0x6fa26a30	0x6fa20000	10018	NET	NET_CleanupGameResources
0x6fa26a90	0x6fa20000	10049	Misc	GetLastError
0x6fa26aa0	0x6fa20000	10007	Misc	BigIntNormalizeAndIsUnity
0x6fa26ab0	0x6fa20000	10039	NET	NET_CreateMcpGame
0x6fa26c70	0x6fa20000	10035	NET	NET_StartConfigSaveThread
0x6fa26cb0	0x6fa20000	10031	NET	NET_ClearErrorAndEncode
0x6fa26cf0	0x6fa20000	10030	NET	NET_EncodeAndResetError
0x6fa26d20	0x6fa20000	10052	NET	NET_EncodeAndResetError
0x6fa26d50	0x6fa20000	10042	Misc	ClearErrorAndEncodeBuffer
0x6fa26d80	0x6fa20000	10044	NET	NET_ClearErrorAndEncode
0x6fa26db0	0x6fa20000	10003	Misc	EncodeBufferInit
0x6fa26de0	0x6fa20000	10032	Misc	ClearErrorAndEncodeBuffer
0x6fa26e10	0x6fa20000	10013	MCP	MCP_EncodeDataBuffer
0x6fa26e60	0x6fa20000	10012	MCP	MCP_EncodeSaveContextKey
0x6fa26f20	0x6fa20000	10057	NET	NET_EncodePacketBuffer
0x6fa26fb0	0x6fa20000	10006	NET	NET_CopyStringToPacketBuffer
0x6fa27020	0x6fa20000	10008	NET	NET_EncodeClientStrings
0x6fa270b0	0x6fa20000	10041	MCP	MCP_EncodeStringToPacketBuffer
0x6fa27140	0x6fa20000	10004	NET	NET_FormatPacket
0x6fa271d0	0x6fa20000	10024	NET	NET_EncodeStringWithOpCode
0x6fa27230	0x6fa20000	10060	NET	NET_EncodeClientBuffer
0x6fa27290	0x6fa20000	10038	NET	NET_BuildPacketWithCode
0x6fa27330	0x6fa20000	10058	NET	NET_EncodePacketData
