pref_addr	pref_base	ordinal	category	name
0x6fbf5f10	0x6fa90000	10011	NET	NET_WaitForSendEvent
0x6fbf5f30	0x6fa90000	10013	NET	NET_GetContextField880
0x6fbf5f40	0x6fa90000	10007	NET	NET_WaitForSendEvent
0x6fbf6000	0x6fa90000	10015	SNET	SNET_GetServerHashValue
0x6fbf6020	0x6fa90000	10021	NET	NET_SetServerContextValue
0x6fbf6050	0x6fa90000	10009	NET	NET_WaitForSendEvent
0x6fbf6070	0x6fa90000	10018	SNET	SNET_SetServerHandle
0x6fbf6090	0x6fa90000	10000	Misc	CloseSocketConnection
0x6fbf60b0	0x6fa90000	10025	NET	NET_GetPeerIPAddressByID
0x6fbf60d0	0x6fa90000	10029	NET	NET_GetPeerIPAddressByID
0x6fbf60f0	0x6fa90000	10027	NET	NET_GetPeerIPAddressByID
0x6fbf6110	0x6fa90000	10001	NET	NET_GetPeerIPAddressByID
0x6fbf6130	0x6fa90000	10032	NET	NET_WaitForSendEvent
0x6fbf6150	0x6fa90000	10010	NET	NET_WaitForSendEvent
0x6fbf6170	0x6fa90000	10017	NET	NET_GetPeerIPAddressByID
0x6fbf6190	0x6fa90000	10014	NET	NET_DequeueBufferMediumPriority
0x6fbf61b0	0x6fa90000	10035	NET	NET_DequeueBufferAndCopy
0x6fbf61d0	0x6fa90000	10016	NET	NET_ReceiveHighPriorityPacket
0x6fbf61f0	0x6fa90000	10028	Misc	DestroyServerContext
0x6fbf6220	0x6fa90000	10012	NET	NET_WaitForSendEvent
0x6fbf6240	0x6fa90000	10023	NET	NET_GetContextField880
0x6fbf6250	0x6fa90000	10022	NET	NET_WaitForSendEvent
0x6fbf6270	0x6fa90000	10036	NET	NET_AddUniqueKeyValuePair
0x6fbf6290	0x6fa90000	10037	NET	NET_ExchangeClientContextValue
0x6fbf62b0	0x6fa90000	10031	NET	NET_WaitForSendEvent
0x6fbf63e0	0x6fa90000	10002	Misc	SendNetworkPacket
0x6fbf6590	0x6fa90000	10005	NET	NET_InitializeClientContext
0x6fbf65d0	0x6fa90000	10006	Misc	GetClientToServerPacketSize
0x6fbf6750	0x6fa90000	10033	Misc	GetServerToClientPacketSize
0x6fbf6a10	0x6fa90000	10003	Misc	WSAGetLastError
0x6fbf6b70	0x6fa90000	10030	Misc	GetLocalSocketAddress
0x6fbf6ef0	0x6fa90000	10026	Misc	ShutdownNetworkSystem
0x6fbf70d0	0x6fa90000	10004	Misc	GetNetworkConnectionStatus
0x6fbf71e0	0x6fa90000	10020	Misc	DequeueOutgoingMessage
0x6fbf7200	0x6fa90000	10008	Misc	DequeueOutgoingMessage
0x6fbf7540	0x6fa90000	10034	Misc	InitializeNetworkClient
0x6fbf75e0	0x6fa90000	10019	Misc	CheckConnectionAndStartReceiver
0x6fbf7650	0x6fa90000	10024	Misc	SendOrQueueNetworkPacket
