pref_addr	pref_base	ordinal	category	name
0x6f9b6660	0x6f9b0000	10055	SOUND	SOUND_NullStub10055
0x6f9b6670	0x6f9b0000	10052	SOUND	SOUND_ReturnVoid
0x6f9b6680	0x6f9b0000	10043	SOUND	SOUND_ShutdownSoundObject
0x6f9b66f0	0x6f9b0000	10039	SOUND	SOUND_BeginDDAStreaming
0x6f9b67c0	0x6f9b0000	10003	SOUNDLIB	SOUNDLIB_HasSoundResource
0x6f9b67f0	0x6f9b0000	10050	Misc	Sound_SetContextField
0x6f9b6820	0x6f9b0000	10038	SOUND	SOUND_SetSoundData
0x6f9b6850	0x6f9b0000	10032	SOUND	SOUND_GetItemSound
0x6f9b68d0	0x6f9b0000	10020	SOUND	SOUND_NotifyBufferCallback
0x6f9b6920	0x6f9b0000	10007	SOUND	SOUND_GetFieldAt38
0x6f9b6950	0x6f9b0000	10044	Misc	GetSoundArrayElement
0x6f9b6980	0x6f9b0000	10006	SOUND	SOUND_StopSoundEntry
0x6f9b6b60	0x6f9b0000	10064	SOUND	SOUND_GetMaxVolumeScalar
0x6f9b6b80	0x6f9b0000	10015	SOUND	SOUND_InitTimeout
0x6f9b6c00	0x6f9b0000	10026	Misc	SetSoundChannelVolume
0x6f9b6ce0	0x6f9b0000	10051	SOUND	SOUND_ApplyChannelVolume
0x6f9b6d80	0x6f9b0000	10028	SOUND	SOUND_ApplyAudioValue
0x6f9b6e20	0x6f9b0000	10008	SOUND	SOUND_SetVolume
0x6f9b6ec0	0x6f9b0000	10054	SOUND	SOUND_StopOrGetStatus
0x6f9b6f30	0x6f9b0000	10037	SOUND	SOUND_IsBufferReady
0x6f9b6fa0	0x6f9b0000	10049	SOUND	SOUND_RemoveSoundEntry
0x6f9b7480	0x6f9b0000	10061	SOUND	SOUND_UpdateGlobalVolume
0x6f9b7510	0x6f9b0000	10023	SOUND	SOUND_FadeGlobalVolume
0x6f9b7580	0x6f9b0000	10069	SOUND	SOUND_CopyAudioData
0x6f9b7650	0x6f9b0000	10005	SOUND	SOUND_LoadAudioBuffer
0x6f9b7740	0x6f9b0000	10065	SOUND	SOUND_CreateSoundEntry
0x6f9b7b00	0x6f9b0000	10012	SOUND	SOUND_GetMusicRestartCount
0x6f9b7b10	0x6f9b0000	10057	SOUND	SOUND_HasValidEntry
0x6f9b7c60	0x6f9b0000	10068	SOUND	SOUND_StartPlayback
0x6f9b7d00	0x6f9b0000	10045	SOUND	SOUND_SetMusicRestartCount
0x6f9b7d30	0x6f9b0000	10010	SOUND	SOUND_StartRandomMusic
0x6f9b7fb0	0x6f9b0000	10024	SOUND	SOUND_InitMusicRestart
0x6f9b7fe0	0x6f9b0000	10014	SOUND	SOUND_StopMusicIfPlaying
0x6f9b8010	0x6f9b0000	10030	SOUND	SOUND_IsSystemReady
0x6f9b8020	0x6f9b0000	10000	SOUND	SOUND_IterateAndShutdownCallbacks
0x6f9b80a0	0x6f9b0000	10036	SOUND	SOUND_CheckAllSoundCallbacksInactive
0x6f9b8100	0x6f9b0000	10019	SOUND	SOUND_InitializeActiveTimeouts
0x6f9b8160	0x6f9b0000	10017	SOUND	SOUND_ShutdownSystem
0x6f9b8200	0x6f9b0000	10070	SOUNDLIB	SOUNDLIB_FindSoundByName
0x6f9b8320	0x6f9b0000	10048	SOUND	SOUND_LoadSound
0x6f9b83c0	0x6f9b0000	10021	SOUND	SOUND_InitSoundSystem
0x6f9b8640	0x6f9b0000	10018	Misc	AppendSoundEntryToList
0x6f9b8690	0x6f9b0000	10033	Misc	CountLinkedListNodes
0x6f9b86a0	0x6f9b0000	10053	SOUND	SOUND_FindLinkedNode
0x6f9b86c0	0x6f9b0000	10062	Misc	RemoveListNode
0x6f9b8710	0x6f9b0000	10034	SOUND	SOUND_AllocEntry
0x6f9b87d0	0x6f9b0000	10009	SOUND	SOUND_GetVolumePowerLevel
0x6f9b8830	0x6f9b0000	10060	AUDIO	AUDIO_ComputeFloatComparisonResult
0x6f9b8920	0x6f9b0000	10063	SOUND	SOUND_RemoveDuplicatesFromList
0x6f9b8980	0x6f9b0000	10025	SOUND	SOUND_ParseWAVEChunkFromArchive
0x6f9b8b50	0x6f9b0000	10047	SOUND	SOUND_GetAudioLevels
0x6f9b8e70	0x6f9b0000	10027	SOUND	SOUND_GetMicrophoneGain
0x6f9b8e80	0x6f9b0000	10046	SOUND	SOUND_GetSoundBufferCount
0x6f9b8e90	0x6f9b0000	10056	SOUND	SOUND_GetSoundInitFlag1
0x6f9b8ea0	0x6f9b0000	10041	SOUND	SOUND_GetDirectSound
