pref_addr	pref_base	ordinal	category	name
0x6ff5cf00	0x6ff50000	10187	FOG	FOG_RegisterSlotIfUnique
0x6ff5cf50	0x6ff50000	10183	Misc	StubOrdinal10183
0x6ff5cf60	0x6ff50000	10182	Misc	StubNoOp
0x6ff5cf70	0x6ff50000	10178	Misc	WriteValueToOffset0xBD0
0x6ff5cf90	0x6ff50000	10179	Misc	StubNoOp
0x6ff5cfa0	0x6ff50000	10171	Misc	SetUnitFieldBBC
0x6ff5cfd0	0x6ff50000	10154	Misc	WaitOnObjectHandle
0x6ff5cff0	0x6ff50000	10174	Misc	IsStateField0x86cActiveOrBusy
0x6ff5d020	0x6ff50000	10180	Misc	GetField880
0x6ff5d040	0x6ff50000	10186	Misc	GetOrSetArrayElement
0x6ff5d070	0x6ff50000	10185	GAME	GAME_CopySessionConfigToGlobals
0x6ff5d1a0	0x6ff50000	10170	Misc	SetResourceStateOrHandleError
0x6ff5d1f0	0x6ff50000	10167	Misc	GetHackListSize
0x6ff5d270	0x6ff50000	10188	Misc	CopyPlayerDataThreadSafe
0x6ff5d2f0	0x6ff50000	10181	Misc	CountTotalSlottedEntities
0x6ff5d360	0x6ff50000	10175	FOG	FOG_ProcessQueuedMessage
0x6ff5d7a0	0x6ff50000	10161	FOG	FOG_HashTableLookupById
0x6ff5d820	0x6ff50000	10160	NET	NET_GetSocketPeerAddress
0x6ff5d8c0	0x6ff50000	10158	Misc	Fog_SearchHashTableEntry
0x6ff5d940	0x6ff50000	10159	Misc	SearchHashTableForNetworkAddress
0x6ff5da60	0x6ff50000	10156	Misc	RemoveAndCopyPoolElement
0x6ff5db70	0x6ff50000	10184	Misc	CountLinkedListNodes
0x6ff5e790	0x6ff50000	10151	Misc	SetGameObjectProperty
0x6ff5e7e0	0x6ff50000	10155	Misc	ClearAllResourcePoolElements
0x6ff5e9f0	0x6ff50000	10173	Misc	GetHashTableEntryValue
0x6ff5ea20	0x6ff50000	10172	Misc	SetHashTableEntryValue
0x6ff5ea50	0x6ff50000	10166	NET	NET_DisconnectSocketByIP
0x6ff5eaf0	0x6ff50000	10165	NET	NET_CloseSocketEntry
0x6ff5eb10	0x6ff50000	10164	Misc	UnlistHackedIP
0x6ff5eb60	0x6ff50000	10163	Misc	ProcessNetworkAddressTracking
0x6ff5ec10	0x6ff50000	10162	Misc	ProcessAndTrackSocketAddress
0x6ff5ece0	0x6ff50000	10247	Misc	GetHashTableEntryNetworkValue
0x6ff5ed30	0x6ff50000	10246	FOG	FOG_GetHashTableEntryField08C
0x6ff5ed70	0x6ff50000	10245	FOG	FOG_HashTableGetNetworkValue
0x6ff5edc0	0x6ff50000	10244	FOG	FOG_GetHashTableEntryValue
0x6ff5ee00	0x6ff50000	10157	Misc	ProcessContextOrSendSocketData
0x6ff5f2f0	0x6ff50000	10153	NET	NET_BroadcastSocketData
0x6ff5f3c0	0x6ff50000	10152	Misc	DestroyResourceManager
0x6ff5f6a0	0x6ff50000	10177	Misc	WaitOrProcessContextSlots
0x6ff5f6e0	0x6ff50000	10150	GAME	GAME_InitializeServerOrShutdown
0x6ff5f730	0x6ff50000	10149	Misc	InitializeGameSession
0x6ff5fb80	0x6ff50000	10059	Misc	GetTickCount
0x6ff5fb90	0x6ff50000	10058	Misc	ResetPerformanceAccumulators
0x6ff5fc20	0x6ff50000	10265	Misc	GetReturnAddress
0x6ff5fc30	0x6ff50000	10243	Misc	ShutdownStubNoOp
0x6ff5fc40	0x6ff50000	10242	Misc	ShutdownStubNoOp
0x6ff5fc50	0x6ff50000	10241	Misc	ShutdownStubNoOp
0x6ff5fc60	0x6ff50000	10240	Misc	ShutdownStubNoOp
0x6ff5fc70	0x6ff50000	10231	Misc	StripSourcePathPrefix
0x6ff5fcc0	0x6ff50000	10039	Misc	GetLastError
0x6ff5fcd0	0x6ff50000	10228	Misc	StubOrdinal10183
0x6ff5fce0	0x6ff50000	10236	Misc	VirtualMethodStub_NoOp
0x6ff5fd50	0x6ff50000	10054	Misc	ShutdownStubNoOp
0x6ff5fd60	0x6ff50000	10053	Misc	ShutdownStubNoOp
0x6ff605d0	0x6ff50000	10022	Misc	GetFogStatePtr
0x6ff60600	0x6ff50000	10018	Misc	FormatStringBuffer
0x6ff60620	0x6ff50000	10049	Misc	ShutdownStubNoOp
0x6ff60630	0x6ff50000	10048	Misc	ShutdownStubNoOp
0x6ff60640	0x6ff50000	10051	Misc	EnterCriticalSectionWrapper
0x6ff60660	0x6ff50000	10226	Misc	BuildDiabloLogHeader
0x6ff60810	0x6ff50000	10021	Misc	ProcessInventoryItemWrapper
0x6ff60cd0	0x6ff50000	10038	Misc	FormatAndOutputDebugMessage
0x6ff60d40	0x6ff50000	10036	Misc	FormatDebugMessageWrapper
0x6ff60d60	0x6ff50000	10037	Misc	OutputDebugIfScrollLockActive
0x6ff60dd0	0x6ff50000	10035	Misc	FormatAndOutputDebugString
0x6ff60f30	0x6ff50000	10028	FOG	FOG_ERROR_LogErrorAndInitiateShutdown
0x6ff61070	0x6ff50000	10026	Misc	TerminateApplicationOnFatalError
0x6ff610a0	0x6ff50000	10027	Misc	HandleSocketInitializationError
0x6ff610d0	0x6ff50000	10025	Misc	PerformNetworkCleanupAndShutdown
0x6ff61100	0x6ff50000	10024	Misc	CleanupAndAbort
0x6ff61130	0x6ff50000	10023	Misc	CleanupNetworkAndInitiateShutdown
0x6ff61160	0x6ff50000	10052	FOG	FOG_LogUnhandledExceptionAndDisplayErrorDialog
0x6ff613a0	0x6ff50000	10020	Misc	RegisterExceptionFilter
0x6ff61690	0x6ff50000	10251	Misc	Fog_ValidateCriticalSection
0x6ff617c0	0x6ff50000	10050	Misc	EnterCriticalSectionWrapper
0x6ff61860	0x6ff50000	10019	GAME	GAME_InitializeGameInstance
0x6ff61a40	0x6ff50000	10225	Misc	ShutdownStubNoOp
0x6ff61e40	0x6ff50000	10214	DATATBLS	DATATBLS_LookupIndexedString
0x6ff61f00	0x6ff50000	10213	DATATBLS	DATATBLS_BinarySearchInSortedArray
0x6ff61f80	0x6ff50000	10210	Misc	GetStatListBaseStatValue
0x6ff61fe0	0x6ff50000	10255	Misc	SearchTreeWithFallback
0x6ff620e0	0x6ff50000	10209	Misc	DeallocateResourceElementPair
0x6ff62120	0x6ff50000	10212	Misc	DeallocateResourcePoolTree
0x6ff621a0	0x6ff50000	10217	Misc	SearchBinaryTreeForTransformedKey
0x6ff62610	0x6ff50000	10216	FOG	FOG_InitializeAndInsertBSTNode
0x6ff62720	0x6ff50000	10211	Misc	AllocateAndInitializePoolSlot
0x6ff62770	0x6ff50000	10208	DATATBLS	DATATBLS_ParseTabDelimitedText
0x6ff62930	0x6ff50000	10215	Misc	InsertSortedValueIntoArray
0x6ff62a60	0x6ff50000	10207	DATATBLS	DATATBLS_ProcessFormatStringData
0x6ff634e0	0x6ff50000	10248	Misc	InitializeMD5Context
0x6ff639e0	0x6ff50000	10249	FOG	FOG_SHA1_InputUpdate
0x6ff63a90	0x6ff50000	10250	FOG	FOG_SHA1_Final
0x6ff63b50	0x6ff50000	10264	Misc	ShutdownStubNoOp
0x6ff63b60	0x6ff50000	10232	Misc	ShutdownStubNoOp
0x6ff63b70	0x6ff50000	10252	Misc	SelectPointerFromPackedByteIndex
0x6ff63be0	0x6ff50000	10230	Misc	CalculateBufferChecksum
0x6ff63c10	0x6ff50000	10229	Misc	ComputeBufferChecksum
0x6ff63c40	0x6ff50000	10133	Misc	DecodeHuffmanSymbol
0x6ff63ca0	0x6ff50000	10131	Misc	ProcessActivePoolSlot
0x6ff63d80	0x6ff50000	10127	Misc	GetAdjustedCountValue
0x6ff63da0	0x6ff50000	10125	Misc	XorMemoryRegions
0x6ff63e40	0x6ff50000	10124	Misc	InvertMemoryBlock
0x6ff63ed0	0x6ff50000	10123	Misc	BitwiseOrBuffers
0x6ff63f70	0x6ff50000	10122	Misc	BitwiseAndBuffers
0x6ff64010	0x6ff50000	10121	Misc	ToggleBitInArray
0x6ff64040	0x6ff50000	10120	Misc	ClearBitInArray
0x6ff64070	0x6ff50000	10119	Misc	GetBitValue
0x6ff64090	0x6ff50000	10118	Misc	SetBitInArray
0x6ff640c0	0x6ff50000	10129	Misc	ExtractSignedBitsFromStream
0x6ff64100	0x6ff50000	10130	Misc	ExtractBitsFromStreamWrapper
0x6ff64120	0x6ff50000	10128	BITMANIP	BITMANIP_WriteBits
0x6ff641e0	0x6ff50000	10126	Misc	InitializeCharacterFilterBuffer
0x6ff64240	0x6ff50000	10132	BITMANIP	BITMANIP_GetArrayElementBits
0x6ff64530	0x6ff50000	10233	Misc	InitializeCleanupForEntryPoint
0x6ff64d10	0x6ff50000	10263	FOG	FOG_LoadAndIndexCrashDumpEntries
0x6ff663c0	0x6ff50000	10237	Misc	InitializeStackWalkContext
0x6ff66430	0x6ff50000	10033	Misc	DumpExceptionStackAndExit
0x6ff66470	0x6ff50000	10034	Misc	InitializeNetworkThreadEntry
0x6ff66710	0x6ff50000	10084	Misc	GetSineValue
0x6ff66730	0x6ff50000	10083	Misc	GetCosineFromTable
0x6ff66750	0x6ff50000	10082	Misc	ShutdownStubNoOp
0x6ff667a0	0x6ff50000	10017	NET	NET_SetSocketNonBlocking
0x6ff667c0	0x6ff50000	10016	Misc	ExtractUnitFields
0x6ff667e0	0x6ff50000	10014	Misc	CopyInetNtoaToBuffer
0x6ff66800	0x6ff50000	10008	Misc	CheckSocketReadiness
0x6ff668e0	0x6ff50000	10011	Misc	LeaveSocketCriticalSection
0x6ff668f0	0x6ff50000	10002	Misc	WSACleanup
0x6ff66900	0x6ff50000	10001	Misc	InitializeWinsock
0x6ff66920	0x6ff50000	10000	Misc	ProcessInventoryItemWrapper
0x6ff66930	0x6ff50000	10015	Misc	ResolveNetworkAddress
0x6ff66a10	0x6ff50000	10013	Misc	RetrieveLocalIPAddress
0x6ff66b10	0x6ff50000	10004	FOG	FOG_CreateTcpConnection
0x6ff66dd0	0x6ff50000	10003	Misc	CreateStormThread
0x6ff66df0	0x6ff50000	10262	Misc	GetSocketNameThreadSafe
0x6ff66e40	0x6ff50000	10012	Misc	GetPeerSocketAddress
0x6ff66e90	0x6ff50000	10010	Misc	AcquireDataStructureLock
0x6ff66eb0	0x6ff50000	10009	Misc	SendDataToSocket
0x6ff66f00	0x6ff50000	10007	Misc	SendDataOverSocket
0x6ff66fb0	0x6ff50000	10006	Misc	ReceiveNetworkDataFromSocket
0x6ff67020	0x6ff50000	10005	Misc	CloseNetworkResource
0x6ff670f0	0x6ff50000	10205	STRING	STRING_SearchTable
0x6ff67130	0x6ff50000	10202	Misc	IffDestroy
0x6ff67140	0x6ff50000	10200	Misc	IffCreate
0x6ff67170	0x6ff50000	10206	Misc	LookupHashTableEntry
0x6ff671c0	0x6ff50000	10203	Misc	AppendItemToArray
0x6ff67210	0x6ff50000	10201	Misc	CopyValidatedDataBuffer
0x6ff67260	0x6ff50000	10199	Misc	ParseBondStructure
0x6ff672b0	0x6ff50000	10204	Misc	AddHashedStringEntryToCollection
0x6ff67bc0	0x6ff50000	10117	Misc	GetLastError
0x6ff67bd0	0x6ff50000	10239	Misc	GetModuleDirectoryPath
0x6ff67c00	0x6ff50000	10113	Misc	AppendPathSeparator
0x6ff67c40	0x6ff50000	10114	Misc	CreateDirectoryPathRecursive
0x6ff67d20	0x6ff50000	10112	Misc	SetFilePointerWrapper
0x6ff67d40	0x6ff50000	10111	Misc	WriteFileWrapper
0x6ff67d60	0x6ff50000	10110	Misc	WriteFileWrapper
0x6ff67d80	0x6ff50000	10109	Misc	CloseHandleWrapper
0x6ff67d90	0x6ff50000	10108	Misc	CloseHandleWrapper
0x6ff67da0	0x6ff50000	10107	Misc	CreateFileWrapper
0x6ff67dd0	0x6ff50000	10106	Misc	SetFilePosition
0x6ff67df0	0x6ff50000	10105	Misc	SetAsyncFileHandle
0x6ff67e00	0x6ff50000	10104	Misc	ReadFileAsync
0x6ff67e30	0x6ff50000	10103	Misc	ProcessInventoryItemWrapper
0x6ff67e40	0x6ff50000	10102	Misc	SetAsyncFileHandle
0x6ff67e60	0x6ff50000	10116	Misc	GetInstallPath
0x6ff67ef0	0x6ff50000	10101	Misc	InitializeStormConfiguration
0x6ff67f60	0x6ff50000	10115	Misc	GetSavePath
0x6ff67ff0	0x6ff50000	10088	Misc	EncodeInt32ToBytes
0x6ff68050	0x6ff50000	10087	Misc	ConvertBytesToPackedColor
0x6ff68090	0x6ff50000	10086	Misc	EncodeVarInt2Byte
0x6ff680b0	0x6ff50000	10085	Misc	Decode14BitPackedValue
0x6ff68580	0x6ff50000	10234	Misc	GetCrashDumpFileSize
0x6ff68940	0x6ff50000	10040	Misc	ShutdownResourcesAndExit_Thunk
0x6ff68950	0x6ff50000	10032	FOG	FOG_EnqueueLogMessage
0x6ff68af0	0x6ff50000	10238	Misc	ValidateAndInitializeNetworkConfig
0x6ff68c40	0x6ff50000	10235	Misc	ReadCrashDumpDataBuffer
0x6ff69040	0x6ff50000	10031	Misc	ValidateParameterOrInitiateShutdown
0x6ff690a0	0x6ff50000	10030	Misc	LogAppendFormat
0x6ff69100	0x6ff50000	10029	DATATBLS	DATATBLS_ValidateParameterOrShutdown
0x6ff69e90	0x6ff50000	10253	Misc	InterpretBytecodeProgram
0x6ff6a4a0	0x6ff50000	10254	DATATBLS	DATATBLS_EncodeExpressionTokenStack
0x6ff6a9c0	0x6ff50000	10148	Misc	GetUnitX
