pref_addr	pref_base	ordinal	category	name
0x6fc000c0	0x6fbf0000	129	Misc	SetGameStateThreadSafe
0x6fc000f0	0x6fbf0000	124	Misc	ClearUnitTimersAndCooldowns
0x6fc00140	0x6fbf0000	114	GAME	GAME_GetGameStateSnapshot
0x6fc00200	0x6fbf0000	113	Misc	GetUnitDataById
0x6fc002e0	0x6fbf0000	112	Misc	GetUnitDataById
0x6fc003f0	0x6fbf0000	111	Misc	GetSlotDataWithCallback
0x6fc004f0	0x6fbf0000	109	UNIT	UNIT_CountActiveLinkedListNodes
0x6fc00610	0x6fbf0000	108	Misc	QueryMaximumDeviceStateValue
0x6fc00720	0x6fbf0000	107	NET	NET_GetDataByTypeWithBuffer
0x6fc008c0	0x6fbf0000	140	Misc	ExecuteRegisteredCallback
0x6fc00e80	0x6fbf0000	137	Misc	ApplyEffectToAllUnits
0x6fc010f0	0x6fbf0000	131	Misc	RemoveHashTableObject
0x6fc01720	0x6fbf0000	139	SNET	SNET_InitializeGameObjects
0x6fc01830	0x6fbf0000	123	SNET	SNET_RegisterSNetEventHandler
0x6fc018a0	0x6fbf0000	103	Misc	CopyLinkedListWithCallback
0x6fc02080	0x6fbf0000	125	PROP	PROP_InitPropertyStructures
0x6fc02170	0x6fbf0000	116	Misc	InitializePropertyObjects
0x6fc02250	0x6fbf0000	133	Misc	CopyStructuresWithCallback
0x6fc023b0	0x6fbf0000	104	Misc	CopyLinkedListWithThreadSafety
0x6fc029d0	0x6fbf0000	134	GAME	GAME_CreateGameUnitFromName
0x6fc02af0	0x6fbf0000	115	Misc	CalculateAvailableGameResources
0x6fc035d0	0x6fbf0000	130	Misc	SetActiveGameUnitContext
0x6fc036c0	0x6fbf0000	128	NET	NET_BroadcastNetworkMessage
0x6fc037f0	0x6fbf0000	127	NET	NET_SendBroadcastMessage
0x6fc03940	0x6fbf0000	135	Misc	BroadcastNetworkMessageToUnits
0x6fc03a90	0x6fbf0000	119	NET	NET_ShutdownGameAndCleanupResources
0x6fc03cb0	0x6fbf0000	106	Misc	BroadcastPlayerStateChange
0x6fc03e10	0x6fbf0000	102	Misc	CleanupAndShutdownGame
0x6fc03eb0	0x6fbf0000	138	Misc	SNetCreateLadderGame
0x6fc04210	0x6fbf0000	101	NET	NET_InitializeGameStateWrapper
0x6fc05170	0x6fbf0000	122	Misc	ProcessUnitNetworkUpdate
0x6fc05740	0x6fbf0000	121	STORMLIB	STORMLIB_DequeueGameUnit
0x6fc059c0	0x6fbf0000	136	Misc	DequeueGameUnitFromPool
0x6fc05c10	0x6fbf0000	118	NET	NET_InitializePlayerGameConnection
0x6fc06030	0x6fbf0000	110	GAME	GAME_ProcessAndCountGameUnits
0x6fc06260	0x6fbf0000	120	NET	NET_STORM_ApplyPatchesFromRegistry
0x6fc06d90	0x6fbf0000	105	Misc	EnumeratePropertiesWithCallback
0x6fc070b0	0x6fbf0000	117	Misc	InitializeGameFramework
0x6fc07810	0x6fbf0000	126	NET	NET_CreateAndShowNetworkProviderDialog
0x6fc07980	0x6fbf0000	389	Misc	ValidateAndRegisterModulePointer
0x6fc07a90	0x6fbf0000	393	Misc	AccumulateCharacterStatistics
0x6fc07b30	0x6fbf0000	383	STORM	STORM_UnregisterAndCleanupModuleResource
0x6fc07ba0	0x6fbf0000	392	SGD	SGD_InitializeStrideArray
0x6fc07c70	0x6fbf0000	390	Misc	InitializeStrideArrayWithValidation
0x6fc07e40	0x6fbf0000	382	STORM	STORM_CreateAndInitializeImageResource
0x6fc07f80	0x6fbf0000	386	Misc	CreateBitmapFontResourceFromHandle
0x6fc08450	0x6fbf0000	388	Misc	SyncSurfaceBufferWithClipping
0x6fc08510	0x6fbf0000	381	Misc	ClipAndDrawRectangle
